date,shop,genre,predicted_sales
2025-12-01,,100181,220781
2025-12-01,,100487,6058875
2025-12-01,,100992,34473935
2025-12-01,,101020,8907167
2025-12-01,,101535,9290992
2025-12-01,,101954,220636
2025-12-01,,110365,3483537
2025-12-01,,110409,2226248
2025-12-01,,110435,905749
2025-12-01,,110632,36800293
2025-12-01,,200181,4506113
2025-12-01,,201184,1735379
2025-12-01,,201351,13124729
2025-12-01,,201486,20114783
2025-12-01,,201632,18974228
2025-12-01,,201925,2390165
2025-12-01,,202502,44535
2025-12-01,,204586,553476
2025-12-01,,204934,5340936
2025-12-01,,204964,6479294
2025-12-01,,205272,22431314
2025-12-01,,205582,4075541
2025-12-01,,205611,32305655
2025-12-01,,205761,7975179
2025-12-01,,206361,14126166
2025-12-01,,206363,219733
2025-12-01,,206440,40602558
2025-12-01,,206471,9534128
2025-12-01,,207288,5003882
2025-12-01,,207774,14791151
2025-12-01,,207802,14872406
2025-12-01,,207966,1640680
2025-12-01,,208532,714827
2025-12-01,,210022,17183439
2025-12-01,,210413,1029210
2025-12-01,,212377,26114
2025-12-01,,214099,5161307
2025-12-01,,214104,6037291
2025-12-01,,214781,6033567
2025-12-01,,215430,31867138
2025-12-01,,215913,16261590
2025-12-01,,216158,521059
2025-12-01,,216173,12901331
2025-12-01,,216424,10333880
2025-12-01,,301577,36411446
2025-12-01,,304080,6831108
2025-12-01,,304763,3975004
2025-12-01,,401131,12927287
2025-12-01,,401534,4029696
2025-12-01,,402018,25153795
2025-12-01,,402279,6312159
2025-12-01,,407120,5761921
2025-12-01,,408789,3892759
2025-12-01,,501098,2005281
2025-12-01,,502221,4559749
2025-12-01,,502280,12891607
2025-12-01,,502835,26624646
2025-12-01,,506012,2891448
2025-12-01,,506536,18984457
2025-12-01,,506539,3765314
2025-12-01,,507515,8118282
2025-12-01,,507843,40694776
2025-12-01,,508456,5281347
2025-12-01,,508599,309
2025-12-01,,509417,8295897
2025-12-01,,509434,9907557
2025-12-01,,510003,12783508
2025-12-01,,511293,39450924
2025-12-01,,551180,8584326
2025-12-01,,551228,31652934
2025-12-01,,551732,7084169
2025-12-01,,551736,6664855
2025-12-01,,554973,7522514
2025-12-01,,555003,1738972
2025-12-01,,555421,691527
2025-12-01,,558754,27100288
2025-12-01,,558846,19886695
2025-12-01,,558873,73434528
2025-12-01,,560271,26087015
2025-12-01,,562641,18608161
2025-12-01,,563339,67211289
2025-12-01,,563342,134929124
2025-12-01,,563689,16251708
2025-12-01,,564286,7216159
2025-12-01,,564647,6465007
2025-12-01,,564895,5386031
2025-12-01,,565724,35401459
2025-12-01,,566061,12961861
2025-12-01,,566403,16674966
2025-12-01,,566647,1337151
2025-12-01,,567251,21280969
2025-12-01,,567434,632391
2025-12-01,,567538,11243538
2025-12-01,,567554,460161
2025-12-01,,567623,2773654
2025-12-01,,567645,9972207
2025-12-01,,567662,26269434
2025-12-01,,567664,61910644
2025-12-01,,567665,23375814
2026-01-01,,100181,14559
2026-01-01,,100487,5175262
2026-01-01,,100992,27217046
2026-01-01,,101020,6468214
2026-01-01,,101384,175
2026-01-01,,101535,2916714
2026-01-01,,101954,168623
2026-01-01,,110365,2880505
2026-01-01,,110409,540256
2026-01-01,,110435,293378
2026-01-01,,110632,25254731
2026-01-01,,200181,2181693
2026-01-01,,201184,1621874
2026-01-01,,201351,11225530
2026-01-01,,201486,16929765
2026-01-01,,201632,8991327
2026-01-01,,201925,1607704
2026-01-01,,202502,13985
2026-01-01,,204586,294295
2026-01-01,,204934,4244429
2026-01-01,,204964,4209571
2026-01-01,,205272,2763672
2026-01-01,,205582,2553783
2026-01-01,,205611,16045960
2026-01-01,,205761,5428392
2026-01-01,,206361,11303697
2026-01-01,,206363,206083
2026-01-01,,206440,27567447
2026-01-01,,206471,8335991
2026-01-01,,207288,2930966
2026-01-01,,207774,7745887
2026-01-01,,207802,1889042
2026-01-01,,207966,2861939
2026-01-01,,208532,565399
2026-01-01,,210022,23810839
2026-01-01,,210413,803124
2026-01-01,,212377,2299
2026-01-01,,214099,5759509
2026-01-01,,214104,1680494
2026-01-01,,214781,4970114
2026-01-01,,215430,8221737
2026-01-01,,215913,6840870
2026-01-01,,216158,263508
2026-01-01,,216173,10495150
