date,genre,sales,sales_low,sales_high,units,units_low,units_high,avg_price
2018-10-01,100181,20167107.54,9604899.8,45331598.13,656,314,1477,30756.037362286443
2018-10-01,100487,32406385.13,15434047.3,72843033.42,6477,3085,14560,5003.394164301826
2018-10-01,100992,82377912.98,39233765.93,150887532.0,9534,4542,17458,8642.880357122443
2018-10-01,101020,37888420.339999996,18044951.42,85165542.8,10744,5117,24150,3526.4746043975583
2018-10-01,101384,30040648.33,14307327.65,67525332.23,369,178,822,81987.42541622558
2018-10-01,101535,61134352.45,32351392.74,137417722.6,7536,3988,16947,8108.849064195236
2018-10-01,101954,30040648.33,14307327.65,67525332.23,926,440,2080,32448.441098253432
2018-10-01,110365,31505235.8,20287445.68,48994951.11,20718,13339,32218,1520.7912544024462
2018-10-01,110409,134462969.54,64040088.0,302245694.17,10663,5079,23970,12609.368728596402
2018-10-01,110435,74106143.17,35294205.98,142679085.86,8798,4190,16943,8420.863613999409
2018-10-01,110632,67490817.6,37620054.65,113573884.42,8671,4834,14591,7782.727399525774
2018-10-01,200181,21773841.29,11694731.17,48943212.48,1818,975,4080,11994.313772743704
2018-10-01,201184,42372081.22,20180365.27,95243910.84,1749,832,3929,24239.05544501833
2018-10-01,201351,100634383.48,71445707.32,181721211.69,23168,16447,41834,4343.828913208452
2018-10-01,201486,17724106.55,8441381.87,39840223.63,1879,894,4217,9447.895089685526
2018-10-01,201632,29314117.66,13961305.1,65892238.78,5996,2857,13479,4888.217465267933
2018-10-01,201925,35451407.24,16884286.03,79687628.94,3467,1654,7793,10223.391686554089
2018-10-01,202502,50263907.1,30221700.54,112983147.16,10204,6133,22938,4925.963174196305
2018-10-01,204586,150159192.53,91348262.45,292248644.93,1305,793,2541,114925.8143778059
2018-10-01,204934,37547055.24,17882370.94,81865377.98,1803,858,3931,20839.808939428058
2018-10-01,204964,61158151.66,40792267.38,93324467.06,10843,7231,16539,5642.042116574518
2018-10-01,205272,37916238.95,18058199.46,85228073.44,2436,1162,5476,15559.310103613318
2018-10-01,205582,107906321.08,66961579.02,235536909.69,5189,3220,11330,20788.12546005629
2018-10-01,205611,133882736.88,63763742.68,300941449.79,21247,10118,47768,6300.150326133339
2018-10-01,205761,78284206.36,50169744.75,175967141.04,22797,14609,51240,3434.1161480686696
2018-10-01,206361,50172605.6,23895486.72,92116143.25,4776,2274,8771,10505.742830358338
2018-10-01,206363,87339396.0,41596750.37,170538127.79,6102,2906,11913,14312.772390310342
2018-10-01,206440,373730911.81,201141552.93,749252981.96,88839,47813,178109,4206.773328617142
2018-10-01,206471,119528457.11,57986411.82,268675915.7,31235,15155,70211,3826.5412005380563
2018-10-01,207288,23634901.43,14048222.48,53126502.660000004,7707,4579,17324,3066.8244861662915
2018-10-01,207774,58135179.13,27687786.45,130676182.95,4742,2263,10656,12260.545693890897
2018-10-01,207802,24754780.36,11789849.99,55643765.57,2033,969,4576,12161.404190822628
2018-10-01,207966,99586076.79,47663364.47,193025282.42,2901,1386,5619,34342.478538966505
2018-10-01,208532,46402457.89,22099895.38,104303386.87,800,382,1794,58105.97751937984
2018-10-01,210022,95341784.04,45408012.75,174786628.35,4332,2064,7948,21992.525
2018-10-01,210413,49384363.91,23520072.99,111006110.21,822,395,1856,59865.244298884034
2018-10-01,212377,66045718.449999996,31455303.5,148457482.28,1573,748,3532,42009.42932991578
2018-10-01,214099,29161282.35,14377167.91,65548694.39,4302,2120,9667,6779.985977538586
2018-10-01,214104,36736507.6,17496335.39,71079829.92,3827,1823,7404,9597.276106696936
