date,genre,rank,shop,source,sales,lower_rank,upper_rank,lower_sales,upper_sales
2026-05-27,100181,1,17793,actual,,,,,
2026-05-27,100181,2,141,actual,,,,,
2026-05-27,100181,3,15219,actual,,,,,
2026-05-27,100181,4,8026,actual,,,,,
2026-05-27,100181,5,16549,actual,,,,,
2026-05-27,100181,6,16549,actual,,,,,
2026-05-27,100181,7,16549,actual,,,,,
2026-05-27,100181,8,33343,actual,,,,,
2026-05-27,100181,9,33343,actual,,,,,
2026-05-27,100181,10,73475,actual,,,,,
2026-05-27,100181,11,16549,actual,,,,,
2026-05-27,100181,12,68927,actual,,,,,
2026-05-27,100181,13,40967,actual,,,,,
2026-05-27,100181,14,19910,actual,,,,,
2026-05-27,100181,15,35586,actual,,,,,
2026-05-27,100181,16,14912,actual,,,,,
2026-05-27,100181,17,33343,actual,,,,,
2026-05-27,100181,18,33343,actual,,,,,
2026-05-27,100181,19,33343,actual,,,,,
2026-05-27,100181,20,15255,actual,,,,,
2026-05-27,100487,1,60596,actual,,,,,
2026-05-27,100487,1,,estimated,24050.0,15,15,24050.0,24050.0
2026-05-27,100487,2,60596,actual,,,,,
2026-05-27,100487,2,,estimated,24050.0,15,15,24050.0,24050.0
2026-05-27,100487,3,38398,actual,,,,,
2026-05-27,100487,3,,estimated,24050.0,15,15,24050.0,24050.0
2026-05-27,100487,4,21836,actual,,,,,
2026-05-27,100487,4,,estimated,24050.0,15,15,24050.0,24050.0
2026-05-27,100487,5,60596,actual,,,,,
2026-05-27,100487,5,,estimated,24050.0,15,15,24050.0,24050.0
2026-05-27,100487,6,30033,actual,,,,,
2026-05-27,100487,6,,estimated,24050.0,15,15,24050.0,24050.0
2026-05-27,100487,7,17222,actual,,,,,
2026-05-27,100487,7,,estimated,24050.0,15,15,24050.0,24050.0
2026-05-27,100487,8,60596,actual,,,,,
2026-05-27,100487,8,,estimated,24050.0,15,15,24050.0,24050.0
2026-05-27,100487,9,56231,actual,,,,,
2026-05-27,100487,9,,estimated,24050.0,15,15,24050.0,24050.0
2026-05-27,100487,10,6898,actual,,,,,
2026-05-27,100487,10,,estimated,24050.0,15,15,24050.0,24050.0
2026-05-27,100487,11,2654,actual,,,,,
2026-05-27,100487,11,,estimated,24050.0,15,15,24050.0,24050.0
2026-05-27,100487,12,9612,actual,,,,,
2026-05-27,100487,12,,estimated,24050.0,15,15,24050.0,24050.0
2026-05-27,100487,13,30033,actual,,,,,
2026-05-27,100487,13,,estimated,24050.0,15,15,24050.0,24050.0
2026-05-27,100487,14,11216,actual,,,,,
