date,shop,genre,predicted_sales
2025-12-01,10130,205611,568028
2025-12-01,10130,206440,2821580
2025-12-01,10130,206471,150934
2025-12-01,10130,216158,2071
2025-12-01,10130,216173,26278
2025-12-01,10130,502835,29945
2025-12-01,10130,551732,24241
2025-12-01,10130,558846,0
2025-12-01,10130,558873,101627
2025-12-01,10130,560271,1544
2025-12-01,10403,100181,107
2025-12-01,10403,201632,5379
2025-12-01,10403,205582,10733
2025-12-01,10403,205611,816
2025-12-01,10403,215430,4511
2025-12-01,10403,401534,0
2025-12-01,10403,551228,137019
2025-12-01,10403,551732,0
2025-12-01,10403,551736,0
2025-12-01,10403,563689,939
2025-12-01,10484,110365,5144
2025-12-01,10484,207288,7818
2025-12-01,10484,551736,10984
2025-12-01,10484,560271,14771
2025-12-01,10612,201632,13
2025-12-01,10612,205582,48141
2025-12-01,10612,205611,5822
2025-12-01,10612,551228,641
2025-12-01,10612,563689,0
2025-12-01,10764,100181,0
2025-12-01,10764,205582,0
2025-12-01,10764,205761,132
2025-12-01,10764,215913,352584
2025-12-01,10764,551228,6290
2025-12-01,10764,567554,1255
2025-12-01,10801,100181,0
2025-12-01,10801,201925,92295
2025-12-01,10801,202502,724
2025-12-01,10801,204586,0
2025-12-01,10801,205611,0
2025-12-01,10801,205761,2554
2025-12-01,10801,207288,20651
2025-12-01,10801,208532,1323
2025-12-01,10801,210413,0
2025-12-01,10801,212377,855
2025-12-01,10801,215913,38638
2025-12-01,10801,301577,1232
2025-12-01,10801,401534,2333
2025-12-01,10801,402279,2867599
2025-12-01,10801,407120,128
2025-12-01,10801,408789,345
2025-12-01,10801,502835,1957
2025-12-01,10801,507515,2698
2025-12-01,10801,508456,99618
2025-12-01,10801,509434,6140
2025-12-01,10801,551180,4732
2025-12-01,10801,551228,60617
2025-12-01,10801,551732,2993
2025-12-01,10801,551736,1582
2025-12-01,10801,558846,1517
2025-12-01,10801,558873,1123
2025-12-01,10801,567554,1640
2025-12-01,11066,204964,68712
2025-12-01,11106,206361,4413888
2025-12-01,11106,206363,46656
2025-12-01,11106,558846,252754
2025-12-01,11106,558873,1027539
2025-12-01,11106,567434,40514
2025-12-01,11221,205761,0
2025-12-01,11227,207288,879
2025-12-01,11227,216424,0
2025-12-01,113,205582,7515
2025-12-01,113,205611,0
2025-12-01,113,215430,876
2025-12-01,113,551228,75109
2025-12-01,11361,201632,5250
2025-12-01,11361,205582,10228
2025-12-01,11361,205611,97430
2025-12-01,11361,215430,1100114
2025-12-01,11361,551228,15781930
2025-12-01,11361,563689,0
2025-12-01,11577,201351,13359
2025-12-01,11577,207774,0
2025-12-01,11577,214099,2259
2025-12-01,11577,567645,5801
2025-12-01,11657,205582,0
2025-12-01,11657,301577,29032
2025-12-01,11657,551228,6209
2025-12-01,11671,206440,26497
2025-12-01,11671,206471,4250
2025-12-01,11671,207288,57
2025-12-01,11671,408789,106
2025-12-01,1177,101954,190856
2025-12-01,1177,110365,0
2025-12-01,1177,205272,3384
2025-12-01,1177,207288,367577
2025-12-01,1177,402279,120931
2025-12-01,1177,408789,1734
2025-12-01,1177,560271,112257
2025-12-01,11842,100487,100989
2025-12-01,11842,408789,0
2025-12-01,11847,101535,11219
2025-12-01,11847,206440,152632
2025-12-01,11847,206471,35258
2025-12-01,11847,216424,101361
2025-12-01,11871,301577,135168
2025-12-01,11871,560271,73565
2025-12-01,11873,204934,2961683
2025-12-01,11873,204964,0
2025-12-01,11873,207966,59857
2025-12-01,12011,110365,2406
2025-12-01,12011,206471,118
2025-12-01,12011,560271,173430
2025-12-01,12028,201632,129683
2025-12-01,12028,205611,14962
2025-12-01,12028,206440,665
2025-12-01,12028,206471,44140
2025-12-01,12028,207288,2143
2025-12-01,12039,551180,19197
2025-12-01,12039,551736,57696
2025-12-01,1216,565724,39587379
2025-12-01,12879,206361,0
2025-12-01,12879,206440,6731
2025-12-01,12879,206471,384
2025-12-01,12879,216173,1148
2025-12-01,12879,401534,99034
2025-12-01,12879,502280,20722
2025-12-01,12879,551180,59038
2025-12-01,12879,558846,18064
2025-12-01,12879,558873,7900
2025-12-01,12879,567434,59819
2025-12-01,1289,205761,284612
2025-12-01,1289,216424,187884
2025-12-01,1289,567538,1983
2025-12-01,12989,201925,0
2025-12-01,12989,210413,0
2025-12-01,12989,216173,0
2025-12-01,12989,551180,984
2025-12-01,13031,100487,560317
2025-12-01,13031,201632,0
2025-12-01,13031,206361,0
2025-12-01,13031,206440,63641
2025-12-01,13031,206471,8750
2025-12-01,13031,207288,81898
2025-12-01,13031,301577,36034
2025-12-01,13031,502221,83456
2025-12-01,13031,502280,563023
2025-12-01,13031,551180,53612
2025-12-01,13031,558846,129026
2025-12-01,13031,558873,1777322
2025-12-01,13062,401131,35639
2025-12-01,13327,110409,79
2025-12-01,13415,100487,647630
2025-12-01,13423,214099,1051044
2025-12-01,13423,564647,50579
2025-12-01,13423,567645,19661
2025-12-01,13492,301577,59376
2025-12-01,13492,408789,309573
2025-12-01,13492,502280,0
2025-12-01,13539,210413,0
2025-12-01,13587,100181,3102
2025-12-01,13587,100487,0
2025-12-01,13587,110365,11393
2025-12-01,13587,200181,0
2025-12-01,13587,204964,2997
2025-12-01,13587,207288,36108
2025-12-01,13587,208532,0
2025-12-01,13587,216173,232106
2025-12-01,13587,301577,5594
2025-12-01,13587,401131,105749
2025-12-01,13587,401534,3135
2025-12-01,13587,408789,9249
2025-12-01,13587,502835,0
2025-12-01,13587,508456,3958
2025-12-01,13587,509434,2436324
2025-12-01,13587,551732,27785
