shop,genre,sales,units,page_views
10008,100487,3000,1,105
10008,205611,0,0,110
10008,206440,25350,2,179
10008,206471,32050,5,560
10008,207288,7900,7,2010
10008,214099,23180,22,383
10008,401534,0,0,109
10008,408789,13400,3,358
10008,506539,2480,2,90
10008,551228,8000,2,461
10008,560271,0,0,210
10029,201925,154800,59,6488
10029,205611,7128,3,71
10029,401534,6000,2,115
10029,408789,143400,29,776
10045,100487,0,0,5
10045,206440,0,0,49
10045,216424,254200,24,510
10045,507843,0,0,5
10045,510003,0,0,14
10045,567251,0,0,1
10045,567538,18000,3,14
10045,567623,62500,5,308
10047,567434,5000,1,36
10130,110365,0,0,38
10130,205611,2467940,685,24494
10130,206440,38272814,15253,471997
10130,206471,4454743,1988,135785
10130,216158,138160,39,3847
10130,216173,698550,576,8732
10130,408789,108000,9,885
10130,502835,480580,202,4455
10130,508456,0,0,13
10130,551180,26400,9,1167
10130,551228,9600,3,355
10130,551732,242010,97,4494
10130,558846,0,0,326
10130,558873,2268290,817,41530
10130,560271,57560,30,1965
10182,205761,373380,92,2882
10182,206361,0,0,36
10182,206363,107000,6,1070
10182,206440,392050,19,19445
10182,206471,0,0,39
10182,207288,0,0,123
10182,304080,306300,14,2760
10182,401534,5400,1,143
10182,407120,0,0,233
10182,408789,2037000,58,10147
10182,502221,0,0,297
10182,502280,0,0,277
10182,551180,3918440,374,24754
10182,551228,25400,2,112
10182,558846,5704800,300,34116
10182,558873,6313800,92,44617
10182,560271,69300,4,623
10237,215430,155960,2,3697
10299,216158,14580,1,131
10403,100181,65819,6,767
10403,201632,14426,5,471
10403,205582,528921,112,9069
10403,205611,93015,25,2381
10403,215430,41520,1,469
10403,401534,0,0,77
10403,407120,7963,4,413
10403,551228,3800913,391,40222
10403,551732,0,0,57
10403,551736,0,0,97
10403,563689,28010,2,293
10484,110365,73478,70,3726
10484,201632,26270,12,1462
10484,207288,282308,120,4624
10484,551736,263722,176,3459
10484,560271,463292,269,20290
10486,215430,20090,1,45
10486,551228,766049,190,23100
1050,201632,6942,6,364
1050,214099,93632,26,1670
1050,402279,135109,56,4490
1050,506539,859114664,316799,2658173
10573,207288,4110,3,210
10573,408789,0,0,119
10573,558873,0,0,1000
10612,201632,19991,25,1113
10612,205582,1326536,763,15539
10612,205611,83405,36,1533
10612,551228,8167,2,700
10612,563689,0,0,190
10749,206361,83850,6,638
10749,206471,0,0,8
10749,216158,0,0,6
10749,216173,2690,3,94
10749,304080,0,0,126
10749,408789,0,0,44
10749,551180,646705,238,16339
10749,558846,806774,158,11740
10749,558873,64010,14,1219
10749,560271,0,0,2
10764,100181,0,0,125
10764,205582,12276,5,193
10764,205761,21671,20,1242
10764,215913,5240510,582,31004
10764,551228,62227,12,35085
10764,567554,100530,10,598
10801,100181,0,0,82
10801,110365,2420,1,23
10801,201925,18389261,1842,124846
10801,202502,29200,5,98
10801,204586,0,0,92
10801,205582,0,0,1
10801,205611,0,0,89
10801,205761,26460,9,1370
10801,207288,348810,164,6358
10801,208532,127219,65,1094
10801,210413,0,0,203
10801,212377,21250,5,668
10801,215913,616958,237,20359
10801,301577,521400,21,2562
10801,401534,17010,5,502
10801,402279,124958431,22463,1102531
10801,407120,21240,7,383
10801,408789,440,4,36
10801,502835,58579,26,724
10801,507515,71666,17,338
10801,508456,10692630,2430,73649
10801,509434,132280,37,1217
10801,551180,184690,64,1511
10801,551228,479950,40,1337
10801,551732,88000,23,1290
10801,551736,22000,9,240
10801,558846,7298,4,57
10801,558873,11280,3,51
10801,564895,61380,7,1342
10801,567554,646916,39,6475
10831,207288,0,0,9
10857,100487,1400,1,132
10857,407120,10500,4,286
10857,551228,125500,24,2350
11018,206440,26049450,9277,297666
11018,206471,1417775,547,34585
11018,216158,38000,5,761
11066,204964,903860,351,6135
11106,206361,73474514,4671,600079
11106,206363,714303,211,12672
11106,551180,300300,97,2630
11106,558846,6161679,1181,77252
11106,558873,12535360,1173,135294
11106,567434,613873,602,2469
11108,216158,91400,27,2421
11108,216173,13000,6,125
11108,301577,0,0,394
11108,408789,0,0,20
11108,551180,25000,5,561
11221,205761,0,0,5
11221,216424,0,0,36
11227,206471,0,0,15
11227,207288,53500,3,1105
11227,216424,0,0,40
11227,502221,0,0,36
11245,204934,20526159,884,75915
11245,204964,22960165,4015,86381
11245,207966,30251023,795,64314
11245,408789,0,0,2
11245,506012,4676388,109,10689
11245,554973,8895492,235,37633
11246,502221,1508400,72,0
11246,558846,189250,13,0
11246,558873,222000,15,0
11246,560271,152250,9,0
113,205582,291820,16,851
113,205611,3990,1,58
113,215430,23996,4,2042
113,551228,1510900,143,16129
113,563689,0,0,2
11331,100181,0,0,387
11331,101535,0,0,105
11331,110409,0,0,46
11331,110435,202122,24,1773
11331,200181,0,0,31
11331,201184,513576,98,5517
11331,201925,396,1,124
11331,204586,0,0,504
11331,204964,0,0,10
11331,205582,0,0,21
11331,205611,0,0,374
11331,205761,3230446,365,10265
11331,207288,808,1,25
11331,207774,0,0,21
11331,207802,0,0,113
11331,208532,788584,23,4241
11331,210413,24575,1,111
11331,212377,11380,2,305
11331,214099,4632566,963,14192
11331,214104,1269594,321,7051
11331,215913,45540,2,262
11331,301577,2655279,548,24837
11331,402018,0,0,38
11331,402279,63314,17,2913
11331,407120,0,0,51
11331,408789,18424,7,2002
11331,501098,8430539,1961,25333
11331,502221,2874013,183,15999
11331,502280,50954,6,1833
11331,502835,0,0,90
11331,506012,0,0,56
11331,506539,2941276,342,8699
11331,508456,2408,1,335
11331,509417,0,0,35
11331,509434,1001,1,38
11331,551228,4990,1,149
11331,551732,47080,13,911
11331,551736,12089176,2308,40454
11331,560271,886,1,90
11331,563689,0,0,310
11331,564895,0,0,776
11331,566647,19850,4,501
11331,567554,5511,2,688
11361,201632,5960,1,2661
11361,205582,761628,247,14126
11361,205611,584020,104,9607
11361,215430,6266540,133,66904
11361,551228,359723442,39463,2576763
11361,563689,0,0,681
11415,507515,1454500,82,4914
11456,201632,146905,34,3927
11456,205272,0,0,1
11456,502221,0,0,2
11503,100487,0,0,1
11503,206440,135737666,70396,4625581
11503,206471,118764943,59584,4492120
11503,216158,1843,1,18
11503,408789,1307415,642,59934
11503,551180,831263,537,20829
11503,558846,411084,175,13940
11503,558873,0,0,739
11577,101535,15948,1,69
11577,110409,4999,1,83
11577,201184,0,0,12
11577,201351,465121,51,2173
11577,207774,0,0,54
11577,214099,19617,9,440
