date,genre,predicted_sales,predicted_sales_low,predicted_sales_high
2018-10-01,100181,0,0,0
2018-10-01,100487,1829512,1826858,2230551
2018-10-01,100992,43351,43285,49813
2018-10-01,101020,577456,576622,637462
2018-10-01,101535,413993,413392,504871
2018-10-01,110365,46704,46647,50290
2018-10-01,110435,24997,24960,26917
2018-10-01,200181,19239,19211,22100
2018-10-01,201184,904233,902880,973704
2018-10-01,201351,12933,12925,13925
2018-10-01,201632,32221,32193,34696
2018-10-01,201925,2998,2998,3230
2018-10-01,205582,12353,12353,15062
2018-10-01,205611,526820,526068,567302
2018-10-01,205761,113813,113657,130720
2018-10-01,206361,946877,945501,1019623
2018-10-01,206363,5066131,5058689,5455355
2018-10-01,206440,3021649,3017289,3253789
2018-10-01,206471,2072556,2069547,2231820
2018-10-01,207288,447087,446481,481434
2018-10-01,207774,151943,151722,163613
2018-10-01,212377,12513,12495,13871
2018-10-01,214099,25108,25078,29126
2018-10-01,214104,6799,6797,8290
2018-10-01,214781,693189,692037,746442
2018-10-01,215430,0,0,0
2018-10-01,215913,57696,57611,70362
2018-10-01,216158,7430,7430,7994
2018-10-01,216173,341706,341214,367966
2018-10-01,216424,293515,293099,316068
2018-10-01,301577,1206539,1204790,1299235
2018-10-01,304080,70816,70725,76255
2018-10-01,304763,856,856,920
2018-10-01,401131,93346,93209,103050
2018-10-01,401534,329437,328020,354747
2018-10-01,402279,242356,241935,260983
2018-10-01,407120,61081,60996,70185
2018-10-01,408789,259449,258687,279389
2018-10-01,501098,4489,4488,5021
2018-10-01,502221,523232,522471,637880
2018-10-01,502280,346772,346274,373411
2018-10-01,502835,1127651,1126017,1214288
2018-10-01,506536,22425,22394,24144
2018-10-01,506539,228878,228548,246465
2018-10-01,507843,518329,517580,558148
2018-10-01,508456,121139,120971,130447
2018-10-01,508599,40358,40301,43461
2018-10-01,509417,209776,209472,255829
2018-10-01,509434,3676479,3671145,4224305
2018-10-01,510003,375247,374714,404077
2018-10-01,551180,1318524,1313365,1419810
2018-10-01,551228,183399,183086,197488
2018-10-01,551732,148217,148015,170307
2018-10-01,551736,79927,79814,88227
2018-10-01,558846,1193374,1191639,1285057
2018-10-01,558873,4228444,4221475,4553322
2018-10-01,560271,1325192,1323274,1427006
2018-10-01,563339,10708988,10693443,11531752
2018-10-01,563342,5775426,5767042,6219149
2018-10-01,563689,41925,41863,45150
2018-10-01,564647,86643,86518,105664
2018-10-01,564895,327993,327516,376879
2018-10-01,565724,544711,543922,586561
2018-10-01,566647,167227,166986,180076
2018-10-01,567434,3685,3685,4497
2018-10-01,567538,261851,261475,289058
2018-10-01,567645,387744,387184,445538
2018-10-01,567662,6003775,5995060,6465041
2018-10-01,567664,12284609,12266786,13228421
2018-10-01,all,72235131,72124780,78607639
2018-11-01,100181,0,0,0
2018-11-01,100487,1970240,1967386,2402120
2018-11-01,100992,54236,54157,62319
2018-11-01,101020,468223,467538,516879
2018-11-01,101535,403438,402852,491998
2018-11-01,101954,95905,95768,116956
2018-11-01,110365,5269,5269,5672
2018-11-01,110435,26934,26897,29002
2018-11-01,200181,2737,2737,3150
2018-11-01,201184,1324650,1322670,1426421
2018-11-01,201351,19258,19243,20738
2018-11-01,201632,33770,33746,36373
2018-11-01,201925,3011,3010,3246
2018-11-01,205582,759981,758903,926794
2018-11-01,205611,397012,396439,427524
2018-11-01,205761,140724,140502,161626
2018-11-01,206361,896474,895167,965347
2018-11-01,206363,6243567,6234376,6723257
2018-11-01,206440,2539676,2536015,2734787
2018-11-01,206471,1233616,1231811,1328416
2018-11-01,207288,592270,591468,637778
2018-11-01,207774,144083,143876,155149
2018-11-01,212377,17590,17563,19499
2018-11-01,214099,38023,37978,44109
2018-11-01,214104,7737,7730,9433
2018-11-01,214781,755897,754642,813968
2018-11-01,215430,0,0,0
2018-11-01,215913,66927,66829,81618
2018-11-01,216158,11446,11446,12310
2018-11-01,216173,423456,422845,455986
2018-11-01,216424,347351,346867,374039
2018-11-01,301577,1082628,1081064,1165797
