date,shop,genre,sales,units,orders,page_views,visitors,carts,reviews_posted,avg_rating,review_count
2026-01-11,113,205582,0,0,0,3,3,0,0,,0
2026-01-11,113,215430,0,0,0,2,1,0,0,,0
2026-01-11,113,551228,0,0,0,22,21,0,0,4.75,4
2026-01-11,287,110632,149090,19,19,180,172,52256,0,4.55,171
2026-01-11,287,201351,0,0,0,2,2,0,0,,0
2026-01-11,287,506539,26565,4,4,83,79,6641,0,5.0,7
2026-01-11,287,511293,59985,11,11,152,148,28602,0,4.71,291
2026-01-11,287,563339,126845,17,17,336,326,93435,0,4.57,172
2026-01-11,287,563342,209490,13,13,439,424,197430,0,4.61,956
2026-01-11,287,567665,110749,16,16,428,406,86619,0,4.68,467
2026-01-11,346,101535,0,0,0,31,30,0,0,4.81,48
2026-01-11,346,110409,0,0,0,8,7,0,0,4.62,8
2026-01-11,402,101020,65542,33,33,173,164,17258,1,4.28,5253
2026-01-11,402,200181,0,0,0,2,2,0,0,4.0,1
2026-01-11,402,205761,0,0,0,2,2,0,0,,0
2026-01-11,402,214781,0,0,0,3,3,0,0,3.91,22
2026-01-11,402,216424,0,0,0,1,1,0,0,5.0,1
2026-01-11,402,402279,0,0,0,3,3,0,0,,0
2026-01-11,402,510003,6800,1,1,10,9,6800,0,4.44,89
2026-01-11,402,551736,0,0,0,1,1,0,0,,0
2026-01-11,402,565724,0,0,0,3,3,0,0,5.0,3
2026-01-11,402,567623,0,0,0,3,3,0,0,,0
2026-01-11,402,567645,0,0,0,2,1,0,0,,0
2026-01-11,491,207802,0,0,0,1,1,0,0,,0
2026-01-11,491,214099,0,0,0,5,5,0,0,5.0,6
2026-01-11,491,214104,0,0,0,1,1,0,0,,0
2026-01-11,491,563339,575844,85,85,1210,1170,252288,3,4.65,15957
2026-01-11,491,563342,485310,49,49,786,749,224484,1,4.67,9579
2026-01-11,491,567251,0,0,0,1,1,0,0,,0
2026-01-11,491,567662,180853,22,22,137,127,28872,0,4.61,2639
2026-01-11,491,567664,106075,12,12,211,200,60265,0,4.65,3623
2026-01-11,491,567665,0,0,0,2,2,0,0,3.0,1
2026-01-11,505,207774,2202,1,1,8,8,2202,0,5.0,1
2026-01-11,505,214099,0,0,0,1,1,0,0,5.0,5
2026-01-11,505,564647,0,0,0,1,1,0,0,,0
2026-01-11,505,567645,0,0,0,2,2,0,0,,0
2026-01-11,525,214099,0,0,0,2,2,0,0,,0
2026-01-11,525,506536,0,0,0,6,6,0,0,4.35,37
2026-01-11,525,563339,198780,53,53,750,733,151070,1,4.42,450
2026-01-11,525,563342,145266,42,42,456,443,106883,0,4.42,2686
2026-01-11,525,567662,344210,37,37,337,323,140275,1,4.5,1705
2026-01-11,525,567664,4839975,837,837,5506,5013,111219,9,4.71,8119
2026-01-11,678,110409,2963,1,1,1,1,2963,0,5.0,1
2026-01-11,678,201184,0,0,0,8,8,0,0,,0
2026-01-11,678,201351,2382,1,1,3,3,2382,0,5.0,1
2026-01-11,678,214099,0,0,0,2,2,0,0,3.0,1
2026-01-11,678,214104,0,0,0,2,2,0,0,,0
2026-01-11,678,214781,0,0,0,2,2,0,0,5.0,2
2026-01-11,678,506536,7445,3,3,10,10,4593,0,4.53,15
2026-01-11,678,564647,13111,2,2,26,24,13111,0,4.89,34
2026-01-11,678,567645,0,0,0,1,1,0,0,,0
2026-01-11,717,408789,0,0,0,28,26,0,0,4.63,30
2026-01-11,869,101535,0,0,0,5,5,0,0,4.89,9
2026-01-11,869,214099,2360,1,1,49,47,2360,0,4.45,83
2026-01-11,869,214104,14105,2,2,38,34,14105,0,4.6,133
2026-01-11,869,566647,0,0,0,2,2,0,0,4.75,4
2026-01-11,1177,101954,8800,6,6,7,7,1467,0,4.91,47
2026-01-11,1177,205272,0,0,0,9,9,0,0,5.0,3
2026-01-11,1177,207288,0,0,0,74,72,0,0,4.7,183
2026-01-11,1177,402279,0,0,0,11,11,0,0,4.76,29
2026-01-11,1177,560271,14960,3,3,59,54,9680,0,4.63,19
2026-01-11,1216,565724,952330,211,210,1711,1644,461896,4,4.71,6091
2026-01-11,1289,205761,5000,2,2,53,50,2500,1,4.86,15
2026-01-11,1289,216424,1800,1,1,18,16,1800,0,5.0,2
2026-01-11,1289,567538,500,1,1,1,1,500,0,,0
2026-01-11,1562,100487,0,0,0,136,131,0,0,,0
2026-01-11,1562,206361,0,0,0,2,2,0,0,,0
2026-01-11,1562,206440,0,0,0,16,16,0,0,,0
2026-01-11,1562,206471,0,0,0,4,4,0,0,,0
2026-01-11,1562,207288,0,0,0,12,11,0,0,,0
2026-01-11,1562,301577,0,0,0,1,1,0,0,,0
2026-01-11,1562,502221,0,0,0,3,3,0,0,,0
2026-01-11,1562,502280,0,0,0,13,13,0,0,,0
2026-01-11,1562,551180,0,0,0,12,12,0,0,,0
2026-01-11,1562,558846,0,0,0,20,20,0,0,,0
2026-01-11,1562,558873,0,0,0,160,158,0,0,,0
2026-01-11,1610,110365,0,0,0,4,3,0,0,5.0,1
2026-01-11,1610,200181,30396,4,4,81,75,12798,1,4.43,259
2026-01-11,1610,201632,61086,14,14,227,206,13430,1,4.66,29
2026-01-11,1610,201925,0,0,0,125,115,0,0,4.68,608
2026-01-11,1610,204586,0,0,0,4,4,0,0,,0
2026-01-11,1610,205272,61796,4,4,156,142,50397,0,4.7,1294
2026-01-11,1610,205611,294987,12,12,188,164,24582,0,4.76,752
2026-01-11,1610,206440,0,0,0,4,4,0,0,5.0,5
2026-01-11,1610,207288,0,0,0,31,31,0,0,4.63,214
2026-01-11,1610,212377,0,0,0,7,7,0,0,,0
2026-01-11,1610,215913,189391,9,9,1296,1206,131194,0,4.71,13099
2026-01-11,1610,216158,0,0,0,1,1,0,0,,0
2026-01-11,1610,216173,70585,13,13,160,138,19116,0,4.6,712
2026-01-11,1610,301577,345792,10,10,1092,1010,235795,0,4.67,3056
2026-01-11,1610,304080,0,0,0,22,19,0,0,4.57,7
2026-01-11,1610,401534,42900,4,4,145,135,10725,1,4.65,565
2026-01-11,1610,402279,7998,2,2,132,122,7998,0,4.58,1031
2026-01-11,1610,407120,3999,1,1,195,177,3999,0,4.61,1320
2026-01-11,1610,408789,0,0,0,38,34,0,0,4.7,59
2026-01-11,1610,502221,124797,3,3,270,248,124797,0,4.61,142
2026-01-11,1610,502280,108792,7,7,498,450,75045,0,4.63,315
2026-01-11,1610,506012,0,0,0,2,2,0,0,,0
2026-01-11,1610,551180,0,0,0,69,65,0,0,4.74,109
2026-01-11,1610,551228,0,0,0,14,14,0,0,4.81,21
2026-01-11,1610,551732,0,0,0,1,1,0,0,4.8,10
2026-01-11,1610,551736,0,0,0,1,1,0,0,4.85,20
2026-01-11,1610,554973,0,0,0,8,8,0,0,5.0,2
2026-01-11,1610,558846,106689,10,10,1468,1364,52454,0,4.65,1161
2026-01-11,1610,558873,87998,2,2,539,478,87998,0,4.77,106
2026-01-11,1610,560271,14850,1,1,61,57,14850,1,4.23,13
2026-01-11,1610,567538,0,0,0,1,1,0,0,,0
2026-01-11,1798,100487,0,0,0,111,110,0,0,,0
2026-01-11,1798,206361,0,0,0,2,2,0,0,,0
2026-01-11,1798,206440,0,0,0,11,11,0,0,,0
2026-01-11,1798,206471,0,0,0,3,3,0,0,,0
2026-01-11,1798,207288,0,0,0,20,19,0,0,,0
2026-01-11,1798,301577,0,0,0,1,1,0,0,,0
2026-01-11,1798,502221,0,0,0,2,2,0,0,,0
2026-01-11,1798,502280,0,0,0,18,18,0,0,,0
2026-01-11,1798,551180,0,0,0,10,10,0,0,,0
2026-01-11,1798,558846,0,0,0,19,19,0,0,,0
2026-01-11,1798,558873,0,0,0,149,143,0,0,,0
