date,shop,genre,sales,units,orders,page_views,visitors,carts,reviews_posted,avg_rating,review_count
2019-09-01,147,206361,0,0,0,30,29,0,0,4.08,481
2019-09-01,147,206363,118900,20,20,534,497,25433,1,4.26,304
2019-09-01,147,206440,0,0,0,1,1,0,0,,0
2019-09-01,147,206471,0,0,0,3,2,0,0,,0
2019-09-01,147,304080,0,0,0,1,1,0,0,,0
2019-09-01,147,502221,0,0,0,2,2,0,0,,0
2019-09-01,147,558846,0,0,0,23,22,0,0,4.25,4
2019-09-01,147,558873,0,0,0,2,2,0,0,,0
2019-09-01,525,506536,7400,1,1,3,3,7400,0,4.36,14
2019-09-01,525,563339,195930,52,52,950,905,144840,0,4.24,255
2019-09-01,525,563342,131160,35,35,456,434,103164,0,4.38,2059
2019-09-01,525,567662,473400,59,59,379,356,100630,0,4.43,552
2019-09-01,525,567664,704400,93,93,788,729,144078,0,4.58,2852
2019-09-01,1050,214099,0,0,0,6,5,0,0,4.34,70
2019-09-01,1050,402279,0,0,0,5,5,0,0,3.91,81
2019-09-01,1050,506539,1062750,454,454,3307,3008,120047,2,4.66,26858
2019-09-01,1918,101535,12594,2,2,154,144,6297,0,4.69,622
2019-09-01,1918,207774,0,0,0,36,34,0,0,4.5,111
2019-09-01,2625,201925,0,0,0,7,7,0,0,,0
2019-09-01,3032,205761,0,0,0,7,7,0,0,4.5,6
2019-09-01,3244,551228,0,0,0,167,160,0,0,4.34,292
2019-09-01,3759,565724,44242,13,0,0,0,0,0,,0
2019-09-01,3915,506536,0,0,0,3,3,0,0,4.75,4
2019-09-01,3915,566061,0,0,0,1,1,0,0,,0
2019-09-01,3915,567645,9800,4,4,19,18,5800,0,4.4,620
2019-09-01,4493,100487,0,0,0,1,1,0,0,,0
2019-09-01,4493,207288,4800,3,3,186,171,1600,0,3.71,239
2019-09-01,4493,216173,3400,5,5,14,14,1360,0,4.09,55
2019-09-01,4493,408789,3700,2,2,71,67,1850,0,4.61,23
2019-09-01,5567,205761,0,0,0,3,3,0,0,4.5,16
2019-09-01,5567,510003,9031,2,2,13,12,9031,0,4.38,8
2019-09-01,5598,201184,0,0,0,2,2,0,0,4.0,1
2019-09-01,5829,206361,0,0,0,3,3,0,0,5.0,1
