genre_id,genre_name
101384,旅行券・ホテル券・航空券 (Travel / hotel / airline vouchers)
201184,白米 (White rice)
560271,ケース・カバー (Cases and covers)
207774,サケ (Salmon)
204586,炊飯器 (Rice cookers)
567664,スパークリングワイン・シャンパンセット (Sparkling wine and champagne sets)
563342,スパークリングワイン・シャンパン (Sparkling wine and champagne)
301577,スーツケース・キャリーバッグ (Suitcases and carry-on bags)
205582,枕 (Pillows)
206440,パンツ (Pants)
558873,コート・ジャケット (Coats and jackets)
502835,ヘッドホン・イヤホン (Headphones and earphones)
110409,ホタテ (Scallops)
506539,ドリップバッグ (Drip coffee bags)
567662,白ワインセット (White wine sets)
563339,赤ワイン (Red wine)
551180,Tシャツ・カットソー (T-shirts and cut-and-sew tops)
566403,本体 (Main units)
501098,トイレットペーパー (Toilet paper)
551228,カーペット・ラグ (Carpets and rugs)
507843,育毛・養毛剤 (Hair growth treatments)
508456,シャワーヘッド (Shower heads)
100992,ビタミンC (Vitamin C)
558846,ズボン・パンツ (Trousers and pants)
206363,ワイシャツ (Dress shirts)
509434,AC式充電器 (AC chargers)
206471,シャツ・ブラウス (Shirts and blouses)
201351,水・炭酸水 (Water and sparkling water)
214099,カレー (Curry)
205611,毛布・ブランケット (Blankets)
215913,両手鍋 (Two-handled pots)
101535,セット・詰め合わせ (Sets and assortments)
216424,フェイスクリーム (Face cream)
206361,スーツ (Suits)
567251,マヌカハニー (Manuka honey)
562641,電気給湯器 (Electric water heaters)
565724,キャットフード (Cat food)
210022,バッテリー本体 (Batteries)
564286,ミラーレス一眼カメラ (Mirrorless cameras)
566647,蒲焼き (Kabayaki grilled eel)
101954,カタログギフト・チケット - その他 (Catalog gifts and tickets - other)
502280,バックパック・リュック (Backpacks and rucksacks)
511293,新ジャンル・第3のビール (Third-category beer)
216173,インソール・中敷き (Insoles)
110632,発泡酒 (Happoshu low-malt beer)
558754,第二類医薬品 (Class-2 OTC medicine)
201486,ビタミンD (Vitamin D)
509417,カールアイロン (Curling irons)
563689,掛け布団 (Comforters)
402279,大人用水筒・マグボトル (Adult water bottles and mugs)
100487,指輪・リング (Rings)
201925,クーラーボックス (Cooler boxes)
567538,シャンプー・トリートメントセット (Shampoo and conditioner sets)
204964,ボール (Balls)
207802,肩ロース (Shoulder loin)
506536,炭酸飲料 (Carbonated drinks)
567434,クリーニング (Cleaning services)
567665,モルト・ウイスキー (Malt whisky)
208532,メンズシェーバー (Men’s electric shavers)
205272,積み木 (Building blocks)
407120,アロマディフューザー (Aroma diffusers)
551732,バスタオル (Bath towels)
214781,青汁 (Aojiru green juice)
554973,GPSナビ (GPS navigation)
304080,ビジネスシューズ (Business shoes)
564895,スマートウォッチ本体 (Smartwatch bodies)
215430,ソファセット (Sofa sets)
564647,ご飯パック (Packaged rice)
510003,まつげ・まゆげ美容液 (Eyelash and eyebrow serum)
201632,ぬいぐるみ (Stuffed toys)
110435,タン (Tongue)
507515,ゲート (Gates)
210413,発電機・ポータブル電源 - その他 (Generators and portable power - other)
205761,入浴剤 (Bath additives)
401131,カバーオール・ロンパース (Coveralls and rompers)
508599,ネックレスチェーン (Necklace chains)
101020,プロバイオティクス - その他 (Probiotics - other)
551736,フェイスタオル (Face towels)
202502,フラワーアレンジメント (Flower arrangements)
212377,ホットプレート (Hot plates)
502221,ビジネスバッグ・ブリーフケース (Business bags and briefcases)
408789,トートバッグ (Tote bags)
567645,植物茶 (Herbal teas)
567554,セット (Sets)
216158,コンフォートサンダル (Comfort sandals)
555421,ドアホン・インターホン (Doorphones and intercoms)
207288,キーホルダー (Keychains)
110365,ストラップ・マスコット (Straps and mascots)
566061,あごだし (Flying fish broth)
555003,カートリッジ (Cartridges)
567623,アミノ酸 - その他 (Amino acids - other)
207966,ユーティリティ (Utility clubs)
214104,ハンバーグ (Hamburger steaks)
200181,スポーツ器具 - その他 (Sports equipment - other)
304763,足用消臭パウダー (Foot deodorant powder)
100181,掃除機・クリーナー - その他 (Vacuum cleaners - other)
506012,レーザー距離計 (Laser rangefinders)
402018,キッズ・ジュニア用自転車 (Kids and junior bicycles)
401534,エプロン (Aprons)
204934,ウェッジ (Wedges)
