date,shop,genre,item,sales,units
2024-08-23,47745,201184,83667740,1248000,35
2024-08-23,47745,201184,83668629,672000,8
2024-08-23,193,560271,17674074,464000,142
2024-08-23,47745,201184,83667725,422000,2
2024-08-23,57626,204586,29814472,370000,1
2024-08-23,47745,201184,83669714,336000,2
2024-08-23,16036,301577,57532600,323596,1
2024-08-23,24293,204934,1775389,313237,5
2024-08-23,47745,201184,83667603,312000,2
2024-08-23,70972,101384,55437379,300000,1
2024-08-23,47745,201184,39183745,286000,2
2024-08-23,57568,201184,29732775,210000,11
2024-08-23,47745,201184,83667721,206000,2
2024-08-23,47745,201184,34101207,204000,12
2024-08-23,27548,101384,82834210,200000,1
2024-08-23,29201,101384,82950721,200000,1
2024-08-23,47745,201184,30322914,187000,1
2024-08-23,54108,204586,45977679,163350,5
2024-08-23,193,560271,17674112,150000,49
2024-08-23,41480,201184,83452654,144000,3
2024-08-23,42336,208532,34816924,137000,1
2024-08-23,57626,204586,29814232,130000,1
2024-08-23,57626,204586,29807546,130000,1
2024-08-23,41480,201184,83452677,128000,2
2024-08-23,32603,508599,45392545,123251,1
2024-08-23,10801,402279,18195330,110330,13
2024-08-23,61982,507515,52676762,107900,5
2024-08-23,57086,101384,74822713,100000,2
2024-08-23,27548,101384,55437364,100000,1
2024-08-23,58880,101384,55437364,100000,1
2024-08-23,60430,101384,84266265,100000,1
2024-08-23,55704,101384,82950720,100000,1
2024-08-23,287,563342,10565925,96480,1
2024-08-23,36197,555003,34390183,95760,16
2024-08-23,2326,204934,4561714,94911,3
2024-08-23,46926,101384,83592243,90000,3
2024-08-23,58880,100992,44053698,88000,1
2024-08-23,193,560271,17674170,84000,30
2024-08-23,47745,201184,83667683,80000,1
2024-08-23,1610,215913,58336125,79596,3
2024-08-23,52454,201925,30821545,78000,1
2024-08-23,50867,100181,83799646,77000,1
2024-08-23,41480,201184,83452891,75000,4
2024-08-23,24293,204934,1777680,75000,1
2024-08-23,60649,215430,38751742,74800,1
2024-08-23,34263,210022,23886634,74400,3
2024-08-23,52454,201925,30997310,73691,1
2024-08-23,24293,207966,1764952,73600,2
2024-08-23,47745,201184,41386532,72000,1
2024-08-23,58880,201486,44057790,70000,1
2024-08-23,47745,201184,83667604,70000,1
2024-08-23,36197,555003,53011880,69000,24
