date,genre,rank,estimated_sales,lower_rank,upper_rank,lower_sales,upper_sales
2020-09-04,100487,3,78823.26,2,8,83300.0,59800.0
2020-09-04,100487,4,74587.11,2,8,83300.0,59800.0
2020-09-04,100487,5,70578.62,2,8,83300.0,59800.0
2020-09-04,100487,6,66785.55,2,8,83300.0,59800.0
2020-09-04,100487,7,63196.33,2,8,83300.0,59800.0
2020-09-05,206363,5,408880.54,4,6,501600.0,333300.0
2020-09-06,206363,5,123139.85,4,7,135300.0,102000.0
2020-09-06,206363,6,112072.59,4,7,135300.0,102000.0
2020-09-07,206363,3,168219.14,2,6,211200.0,85000.0
2020-09-07,206363,4,133985.18,2,6,211200.0,85000.0
2020-09-07,206363,5,106718.07,2,6,211200.0,85000.0
2020-09-07,566403,6,606838.39,5,7,689470.0,534110.0
2020-09-09,206363,5,81016.67,4,6,85800.0,76500.0
2020-09-09,206363,7,60280.62,6,8,76500.0,47500.0
2020-09-10,206363,3,509113.78,2,5,594000.0,374000.0
2020-09-10,206363,4,436358.3,2,5,594000.0,374000.0
2020-09-10,206363,6,272837.12,5,8,374000.0,145200.0
2020-09-10,206363,7,199037.61,5,8,374000.0,145200.0
2020-09-14,402279,3,41670.91,2,8,43200.0,34800.0
2020-09-14,402279,4,40195.95,2,8,43200.0,34800.0
2020-09-14,402279,5,38773.19,2,8,43200.0,34800.0
2020-09-14,402279,6,37400.79,2,8,43200.0,34800.0
2020-09-14,402279,7,36076.97,2,8,43200.0,34800.0
2020-09-23,206363,4,109726.44,3,7,128700.0,68000.0
2020-09-23,206363,5,93550.04,3,7,128700.0,68000.0
2020-09-23,206363,6,79758.41,3,7,128700.0,68000.0
2020-09-25,206363,4,370660.15,3,5,521400.0,263500.0
