date,genre,sales,sales_low,sales_high,units,units_low,units_high,avg_price
2019-06-01,all,271640417.07,142565394.66,561375845.44,35291,19465,70169,7697.158399308605
2019-06-02,all,214670443.44,112624882.51,443493541.29,27738,15267,55128,7739.218524767467
2019-06-03,all,180457858.37,94594899.11,373317721.64,23025,12674,45760,7837.474847774159
2019-06-04,all,434315406.61,229770804.48,892886055.88,61167,33873,121264,7100.4856640018315
2019-06-05,all,851897376.41,450665239.69,1749671058.29,118405,65313,235146,7194.77535923314
2019-06-06,all,280389824.08,148221140.31,576659139.13,38097,21045,75627,7359.892487072472
2019-06-07,all,257251127.37,135801805.01,529464057.22,34781,19195,69135,7396.311991317099
2019-06-08,all,287422502.66,151629010.92,591163115.88,38984,21477,77490,7372.832512312744
2019-06-09,all,336303988.9,177385491.35,692022530.86,45481,25084,90361,7394.3842241815255
2019-06-10,all,912555936.34,481206322.89,1876613938.25,124463,68473,247362,7331.945528711344
2019-06-11,all,239640473.09,126227334.13,493707969.29,31904,17606,63414,7511.298680102808
2019-06-12,all,180301775.39,94574679.37,372849785.37,23095,12721,45915,7806.961480407014
2019-06-13,all,170723018.56,89658420.98,352869435.21,21909,12070,43549,7792.3692802044825
2019-06-14,all,166538438.07,87394910.27,344281850.71999997,21411,11786,42608,7778.171877539582
2019-06-15,all,313963064.93,165088505.28,647413444.5,41490,22861,82421,7567.198479874669
2019-06-16,all,228470072.24,120083139.22,471863936.11,29371,16199,58375,7778.763822818427
2019-06-17,all,185902652.94,97681186.1,384071550.76,23470,12960,46544,7920.862928845334
2019-06-18,all,181655964.12,95460483.65,375212507.04,23057,12745,45744,7878.5602688988165
2019-06-19,all,173301909.41,90937711.73,358234983.95,22208,12241,44124,7803.580214787464
2019-06-20,all,267497086.17,141003057.56,550981611.58,35378,19560,70140,7561.113860873989
2019-06-21,all,231433102.07,121990048.78,476849729.46,31384,17318,62365,7374.2385314172825
2019-06-22,all,245011086.81,129033397.67,504873388.89,32824,18081,65226,7464.388459968316
2019-06-23,all,293157951.58,154662748.17,603190107.37,39694,21916,78720,7385.447462588804
2019-06-24,all,246401390.75,129798286.55,507687754.43,32642,18027,64713,7548.599679860303
