genre,rank,estimated_sales
100181,1,95510.0
100181,2,95510.0
100181,3,95510.0
100181,4,27920.0
100181,5,27920.0
100181,6,27920.0
100181,7,25240.0
100181,8,19050.0
100181,9,19050.0
100181,10,19050.0
100181,11,19050.0
100181,12,19050.0
100181,13,17750.0
100181,14,17750.0
100181,15,13960.0
100181,16,13960.0
100181,17,13960.0
100181,18,13960.0
100181,19,13960.0
100181,20,13960.0
100487,1,71805.0
100487,2,49600.0
100487,3,40000.0
100487,4,40000.0
100487,5,40000.0
100487,6,32000.0
100487,7,32000.0
100487,8,29610.0
100487,9,29328.0
100487,10,27707.5
100487,11,27707.5
100487,12,27350.0
100487,13,27350.0
100487,14,27350.0
100487,15,27350.0
100487,16,27350.0
100487,17,25600.0
100487,18,25600.0
100487,19,22460.0
100487,20,22460.0
100992,1,655702.5
100992,2,254915.0
100992,3,147347.5
100992,4,132192.0
100992,5,116961.0
100992,6,97467.5
100992,7,97467.5
100992,8,71976.0
100992,9,68977.0
100992,10,59980.0
100992,11,59980.0
100992,12,59980.0
100992,13,59980.0
100992,14,59980.0
100992,15,43740.0
100992,16,30000.0
100992,17,30000.0
100992,18,30000.0
100992,19,30000.0
100992,20,30000.0
101020,1,313650.0
101020,2,162252.0
101020,3,99841.0
101020,4,89400.0
101020,5,68106.0
101020,6,45515.0
101020,7,33902.5
101020,8,30504.5
101020,9,30504.5
101020,10,27552.0
101020,11,27498.0
101020,12,26000.0
101020,13,22515.0
101020,14,18330.0
101020,15,15776.0
101020,16,15556.0
101020,17,15556.0
101020,18,14604.5
101020,19,12111.0
101020,20,11556.0
101535,1,394878.0
101535,2,97679.0
101535,3,95373.0
101535,4,70690.0
101535,5,65014.0
101535,6,55290.0
101535,7,48813.5
101535,8,48813.5
101535,9,45680.5
101535,10,45680.5
101535,11,38778.0
101535,12,38778.0
101535,13,33228.0
101535,14,33228.0
101535,15,33228.0
101535,16,27726.0
101535,17,27726.0
101535,18,27726.0
101535,19,25852.0
101535,20,25852.0
110365,1,130500.0
110365,2,76800.0
110365,3,64800.0
110365,4,45600.0
110365,5,38660.0
110365,6,32240.0
110365,7,31200.0
110365,8,24000.0
110365,9,21600.0
110365,10,19775.0
110365,11,19775.0
110365,12,17600.0
110365,13,17300.0
110365,14,16000.0
110365,15,16000.0
110365,16,16000.0
110365,17,16000.0
110365,18,14350.0
110365,19,13600.0
110365,20,13400.0
110409,1,1692836.0
110409,2,785484.0
110409,3,149063.0
110409,4,149063.0
110409,5,149063.0
110409,6,149063.0
110409,7,149063.0
110409,8,149063.0
110409,9,149063.0
110409,10,149063.0
110409,11,149063.0
110409,12,54000.0
110409,13,54000.0
110409,14,44995.0
110409,15,44995.0
110409,16,44995.0
110409,17,44995.0
110409,18,44995.0
110409,19,44995.0
110409,20,14398.0
110435,1,399320.0
110435,2,118320.0
110435,3,74880.0
110435,4,72403.0
110435,5,72403.0
110435,6,72403.0
110435,7,72403.0
110435,8,47680.0
110435,9,39633.0
110435,10,36800.0
110435,11,36800.0
110435,12,36800.0
110435,13,36800.0
110435,14,36180.0
110435,15,36180.0
110435,16,36180.0
110435,17,36180.0
110435,18,36180.0
110435,19,25760.0
110435,20,25760.0
110632,1,286631.0
110632,2,286631.0
110632,3,286631.0
110632,4,215720.0
110632,5,126828.0
110632,6,126828.0
110632,7,118847.0
110632,8,118847.0
110632,9,89804.0
110632,10,84552.0
110632,11,80860.0
110632,12,80860.0
110632,13,53717.0
110632,14,53717.0
110632,15,53717.0
110632,16,53717.0
110632,17,47785.5
110632,18,42624.0
110632,19,39072.0
110632,20,36155.0
200181,1,62091.0
200181,2,44995.0
200181,3,41995.0
200181,4,36773.0
200181,5,36773.0
200181,6,33596.0
200181,7,26697.0
200181,8,24988.5
200181,9,23843.5
200181,10,20697.0
200181,11,19238.0
200181,12,19099.0
200181,13,19099.0
200181,14,19099.0
200181,15,19099.0
200181,16,19099.0
200181,17,19099.0
200181,18,19099.0
200181,19,16798.0
200181,20,15798.0
201184,1,1042040.0
201184,2,1042040.0
201184,3,1042040.0
201184,4,1042040.0
201184,5,1042040.0
201184,6,1042040.0
201184,7,1042040.0
201184,8,1042040.0
201184,9,1042040.0
201184,10,1042040.0
201184,11,1042040.0
201184,12,1042040.0
201184,13,1042040.0
201184,14,1042040.0
201184,15,1042040.0
201184,16,1042040.0
201184,17,1042040.0
201184,18,1042040.0
201184,19,1042040.0
201184,20,1042040.0
201351,1,590520.0
201351,2,590520.0
201351,3,590520.0
201351,4,590520.0
201351,5,590520.0
201351,6,590520.0
201351,7,590520.0
201351,8,426055.0
201351,9,426055.0
201351,10,426055.0
201351,11,426055.0
201351,12,426055.0
201351,13,426055.0
201351,14,424760.0
201351,15,331520.0
201351,16,290080.0
201351,17,264180.0
201351,18,264180.0
201351,19,264180.0
201351,20,95830.0
201486,1,364365.0
201486,2,115858.5
201486,3,91327.5
201486,4,73751.0
201486,5,61635.0
201486,6,61635.0
201486,7,61635.0
201486,8,53217.5
201486,9,31005.0
201486,10,31005.0
201486,11,31005.0
201486,12,27560.0
201486,13,27380.0
201486,14,27380.0
201486,15,22267.5
201486,16,22267.5
201486,17,19682.0
201486,18,17225.0
201486,19,17225.0
201486,20,10360.0
