genre,event,factor,rows
100181,fashionthesale,1.0,19
100181,marathon,1.0,72
100181,supersale,1.4065,33
100181,thank-you,1.25,5
100181,wonderful-day,2.4,7
100181,zero-five,1.3575,48
100487,black-friday,1.1734,10
100487,eagles,1.0599,10
100487,event,0.96,87
100487,fashionthesale,1.152,21
100487,fathers-day,1.3129,5
100487,ichiba-day,0.8146,28
100487,marathon,1.121,214
100487,mothers-day,1.3129,5
100487,point-back,1.0193,16
100487,supersale,0.8951,315
100487,thank-you,1.4182,16
100487,wonderful-day,1.2237,20
100487,zero-five,1.3141,141
100992,black-friday,1.4198,22
100992,eagles,0.9786,8
100992,fashionthesale,0.9973,65
100992,fathers-day,1.4468,17
100992,ichiba-day,1.0,31
100992,marathon,1.3774,327
100992,mothers-day,1.4468,17
100992,point-back,0.7726,10
100992,supersale,1.6538,72
100992,thank-you,1.1213,22
100992,wonderful-day,1.6137,28
100992,zero-five,2.4,171
101020,black-friday,1.7456,31
101020,eagles,1.9383,6
101020,fashionthesale,1.002,74
101020,fathers-day,1.248,16
101020,ichiba-day,1.1808,33
101020,marathon,1.2366,326
101020,mothers-day,1.248,16
101020,point-back,1.112,8
101020,supersale,1.185,116
101020,thank-you,1.0285,26
101020,wonderful-day,1.5031,19
101020,zero-five,2.4,192
101535,39shop,0.9756,18
101535,black-friday,1.8612,37
101535,eagles,0.668,9
101535,event,0.9306,107
101535,fashionthesale,0.9982,72
101535,ichiba-day,0.8003,27
101535,marathon,1.0878,442
101535,point-back,1.1176,16
101535,supersale,1.5589,129
101535,thank-you,2.4,6
101535,wonderful-day,0.9683,27
101535,zero-five,2.3314,208
110365,black-friday,1.1312,58
110365,eagles,0.8,25
110365,event,1.1775,84
110365,fashionthesale,1.0341,145
110365,ichiba-day,1.0147,62
110365,marathon,1.2318,629
110365,point-back,0.863,20
110365,supersale,1.3704,179
110365,thank-you,0.9375,45
110365,wonderful-day,1.0513,57
110365,zero-five,1.7107,414
110409,black-friday,1.2442,5
110409,fashionthesale,0.65,9
110409,marathon,0.65,16
110409,supersale,1.4659,42
110409,wonderful-day,0.65,7
110409,zero-five,1.0434,23
110435,39shop,0.9745,16
110435,event,0.7446,73
110435,fashionthesale,0.7557,22
110435,ichiba-day,0.9114,15
110435,marathon,1.2,107
110435,point-back,0.9773,14
110435,supersale,1.5257,111
110435,wonderful-day,0.712,12
110435,zero-five,1.7,73
110632,black-friday,1.4521,31
110632,eagles,0.7716,17
110632,fashionthesale,1.0123,87
110632,fathers-day,0.9489,18
110632,ichiba-day,1.4341,42
110632,marathon,1.1812,371
110632,mothers-day,0.9489,18
110632,point-back,0.7837,20
110632,supersale,1.4273,117
110632,thank-you,1.1823,34
110632,wonderful-day,1.8241,28
110632,zero-five,2.4,193
200181,39shop,0.72,10
200181,black-friday,0.9963,31
200181,eagles,1.0837,11
200181,event,1.0,92
200181,fashionthesale,1.052,78
200181,fathers-day,1.5271,6
200181,ichiba-day,1.0476,48
200181,marathon,1.1093,404
200181,mothers-day,1.5271,6
200181,point-back,1.1188,18
200181,supersale,1.4999,120
200181,thank-you,1.1997,36
200181,wonderful-day,1.2678,39
200181,zero-five,1.794,269
201184,marathon,0.65,6
201351,black-friday,0.9422,7
201351,fashionthesale,1.0152,14
201351,marathon,1.0976,35
201351,point-back,0.65,5
201351,supersale,0.9483,18
201351,thank-you,0.7044,8
201351,zero-five,2.1459,26
201486,black-friday,1.0591,25
201486,eagles,0.7405,10
201486,event,0.65,10
201486,fashionthesale,0.9562,68
201486,fathers-day,1.6175,15
201486,ichiba-day,0.8889,32
201486,marathon,1.3333,391
201486,mothers-day,1.6175,15
201486,point-back,0.8458,12
201486,supersale,1.25,113
201486,thank-you,0.8724,26
201486,wonderful-day,1.4444,39
201486,zero-five,2.2648,185
201632,event,1.1,23
201632,fashionthesale,1.0887,19
201632,ichiba-day,0.7994,13
201632,marathon,1.0,122
201632,supersale,0.8364,38
201632,wonderful-day,0.8421,5
201632,zero-five,1.5627,59
201925,39shop,0.9629,12
201925,black-friday,0.8023,33
201925,event,0.7935,85
201925,fashionthesale,0.9799,35
201925,ichiba-day,0.967,31
201925,marathon,1.1423,297
201925,point-back,0.65,13
201925,supersale,1.0011,86
201925,thank-you,0.8817,19
201925,wonderful-day,1.2366,37
201925,zero-five,1.4244,132
202502,black-friday,0.9265,40
202502,eagles,1.0455,16
202502,event,0.7999,66
202502,fashionthesale,0.8029,83
202502,ichiba-day,0.9746,44
202502,marathon,0.9514,344
202502,point-back,0.9154,28
202502,supersale,1.1873,140
202502,thank-you,1.3987,43
202502,wonderful-day,1.2974,51
202502,zero-five,1.752,243
204586,event,1.3333,7
204586,fashionthesale,1.1111,11
204586,marathon,1.0,32
204586,supersale,1.697,6
204586,thank-you,0.8,7
204586,zero-five,1.5714,21
204934,black-friday,1.1347,10
204934,eagles,0.7444,6
204934,fashionthesale,1.0003,52
204934,fathers-day,0.8318,14
204934,ichiba-day,1.0377,18
204934,marathon,1.0,275
204934,mothers-day,0.8318,14
204934,supersale,1.0509,94
204934,thank-you,0.8405,16
204934,wonderful-day,1.375,26
204934,zero-five,1.3844,146
204964,black-friday,1.6946,18
204964,eagles,1.8,7
204964,event,0.9356,28
