rows,actual_sales,predicted_sales,wmape,median_ape,mean_ape,within_25_percent,within_50_percent,median_absolute_error,event
19,2112299.0,1086772.34,0.521151,0.154163,0.220776,0.631579,0.842105,6047.56,39shop
105,14516331.0,14672366.89,0.265677,0.20662,0.271425,0.6,0.847619,19035.67,black-friday
46,3135968.0,2879051.92,0.260914,0.151213,0.229661,0.673913,0.913043,5698.9,eagles
260,23004529.0,18932772.56,0.302903,0.190966,0.2554,0.603846,0.876923,8461.8,event
344,34486889.0,29308648.76,0.352326,0.240298,0.375316,0.517442,0.831395,10283.08,fashionthesale
49,8366255.0,8447625.49,0.184652,0.223643,0.305029,0.571429,0.836735,15867.02,fathers-day
163,16327493.0,15185913.67,0.279904,0.215044,0.302047,0.588957,0.871166,10990.48,ichiba-day
1534,200830518.0,178369337.23,0.298141,0.205717,0.351206,0.571708,0.850717,12307.26,marathon
49,8366255.0,8447625.49,0.184652,0.223643,0.305029,0.571429,0.836735,15867.02,mothers-day
3,637280.0,480258.12,0.300445,0.123703,0.196151,0.666667,1.0,10283.15,newyear-sale
1598,94991657.0,90154842.32,0.279003,0.205984,0.294547,0.586358,0.871089,6503.38,none
79,5932997.0,6024554.91,0.287004,0.192221,0.303843,0.582278,0.78481,8102.75,point-back
424,76622184.0,68432149.59,0.275453,0.219892,0.35082,0.549528,0.865566,17094.65,supersale
99,11930657.0,12264920.15,0.284907,0.206451,0.309051,0.59596,0.858586,15253.94,thank-you
144,15461875.0,13265392.69,0.309533,0.19177,0.429469,0.604167,0.868056,11880.99,wonderful-day
897,184448684.0,167494677.77,0.271821,0.208844,0.340276,0.57748,0.857302,19746.62,zero-five
