rows,actual_sales,predicted_sales,wmape,median_ape,mean_ape,within_25_percent,within_50_percent,median_absolute_error,genre
49,1626822.0,1125676.91,0.500865,0.300145,0.68194,0.346939,0.714286,5377.53,100181
160,7415077.0,6285556.87,0.385851,0.231722,0.341897,0.53125,0.78125,7353.84,100487
263,95867960.0,90972348.38,0.193613,0.192115,0.29348,0.619772,0.897338,38385.03,100992
214,30346163.0,24627130.86,0.346399,0.292566,0.361717,0.439252,0.780374,12334.16,101020
240,20172131.0,17130677.79,0.289202,0.206208,0.269541,0.5875,0.883333,8670.31,101535
445,18305944.0,17084306.34,0.224697,0.168549,0.209335,0.698876,0.952809,3856.35,110365
25,1309298.0,1107974.24,0.445802,0.362301,0.460102,0.16,0.8,12743.77,110409
95,4910582.0,4692901.64,0.296872,0.24935,0.353558,0.505263,0.768421,8689.4,110435
301,28606916.0,25302959.87,0.228669,0.1711,0.219233,0.694352,0.92691,10557.85,110632
353,14187896.0,13004792.53,0.275948,0.175121,0.248132,0.634561,0.866856,4699.57,200181
4,1371440.0,410984.11,0.700327,0.726947,0.564127,0.25,0.25,104543.7,201184
45,19060490.0,18190074.23,0.221346,0.192787,0.209554,0.733333,0.955556,64509.68,201351
255,52047992.0,46820889.49,0.267914,0.269069,0.380165,0.470588,0.764706,23113.81,201486
75,3797085.0,2999688.67,0.459782,0.247719,0.38763,0.506667,0.72,9517.09,201632
232,14735864.0,12554750.07,0.365024,0.303788,0.428097,0.418103,0.758621,14721.25,201925
284,30381764.0,27629502.81,0.281689,0.19216,0.261929,0.580986,0.887324,14063.62,202502
27,13558050.0,10345343.25,0.323135,0.23969,0.275686,0.555556,0.925926,78306.77,204586
211,11428611.0,11537905.22,0.320584,0.248152,0.339786,0.507109,0.810427,11398.64,204934
207,14780806.0,14390460.54,0.172435,0.158703,0.178731,0.792271,0.961353,9826.39,204964
539,39620669.0,34831617.0,0.401539,0.29061,0.399103,0.434137,0.725417,12882.77,205272
68,9102539.0,8083969.31,0.270262,0.213264,0.2584,0.617647,0.882353,22328.65,205582
256,26305828.0,21314190.25,0.361347,0.287923,0.409512,0.421875,0.746094,16919.48,205611
32,2201460.0,1272227.84,0.508448,0.224613,0.317936,0.5,0.78125,6325.61,205761
601,44549752.0,42596123.89,0.242442,0.173085,0.254116,0.642263,0.906822,8842.8,206361
226,23733180.0,22662277.35,0.252475,0.227958,0.303303,0.548673,0.827434,15903.17,206363
88,43610005.0,38538639.5,0.311628,0.260915,0.306617,0.488636,0.840909,75093.72,206440
46,9793448.0,8033520.63,0.370319,0.364672,0.422519,0.326087,0.673913,46641.41,206471
188,4637362.0,3922872.21,0.38946,0.211148,0.294363,0.56383,0.835106,3403.98,207288
81,26904869.0,12198737.44,0.614229,0.364115,0.43639,0.37037,0.666667,14807.04,207774
380,12675451.0,10905556.78,0.363434,0.262499,0.341509,0.478947,0.763158,5415.3,207802
170,17335916.0,16114962.9,0.268924,0.213859,0.300903,0.552941,0.841176,18952.34,207966
1,54720.0,32939.69,0.398032,0.398032,0.398032,0.0,1.0,21780.31,208532
150,15293252.0,14859708.2,0.298867,0.215661,0.512552,0.566667,0.846667,20137.74,210022
37,2735718.0,2325276.81,0.476889,0.525012,0.629737,0.243243,0.459459,28364.57,210413
3,158250.0,143068.95,0.201821,0.268545,0.198468,0.333333,1.0,8378.59,212377
82,3565867.0,2993110.85,0.358869,0.260215,0.339272,0.47561,0.804878,7713.12,214099
30,661442.0,1254819.06,1.095967,0.321961,0.759017,0.4,0.7,4888.55,214104
204,9753490.0,8691027.37,0.227513,0.168884,0.22085,0.666667,0.926471,7217.64,214781
242,47420823.0,40530796.34,0.442995,0.312428,0.46473,0.429752,0.719008,34876.3,215430
652,41565168.0,38299012.03,0.268975,0.179254,0.252506,0.654908,0.894172,8363.69,215913
377,17019677.0,14808111.49,0.299033,0.222964,0.282295,0.562334,0.875332,6975.84,216158
935,37732355.0,35686733.67,0.204407,0.161532,0.195391,0.709091,0.947594,4436.42,216173
64,7248754.0,6275527.01,0.441887,0.290848,0.405256,0.375,0.671875,16646.73,216424
22,3682437.0,2276774.11,0.550755,0.421254,0.54214,0.318182,0.590909,44946.25,301577
207,15782617.0,15278881.49,0.184832,0.148449,0.244296,0.73913,0.951691,7805.16,304080
853,44851648.0,41253288.4,0.25403,0.21089,0.27619,0.573271,0.871043,5575.95,304763
531,21586831.0,19584673.96,0.227829,0.180995,0.221556,0.647834,0.934087,5069.42,401131
221,9543971.0,8897635.98,0.242409,0.17406,0.283784,0.606335,0.886878,6810.87,401534
193,22759480.0,20777375.49,0.314835,0.224017,0.295996,0.528497,0.803109,16054.15,402018
144,7707558.0,6849411.28,0.283732,0.254814,0.289291,0.486111,0.861111,9485.84,402279
663,42337170.0,38528770.3,0.250631,0.183123,0.238183,0.633484,0.911011,7100.95,407120
238,6521644.0,5277528.89,0.504487,0.41454,0.451251,0.298319,0.638655,6494.1,408789
2,68418.0,69818.56,0.020471,0.020471,0.020471,1.0,1.0,700.28,501098
129,8752402.0,7292460.39,0.586029,0.522244,0.744646,0.155039,0.48062,30465.35,502221
315,19094493.0,17760397.18,0.21912,0.159044,0.234375,0.67619,0.936508,7641.3,502280
26,5603838.0,4896788.83,0.617342,0.596714,0.579266,0.307692,0.461538,94547.02,502835
92,5238010.0,4701034.26,0.266022,0.211851,0.256763,0.619565,0.869565,9270.98,506012
31,3928588.0,3647231.94,0.265548,0.301065,0.291082,0.387097,0.870968,27320.46,506536
162,36921547.0,33669022.91,0.230158,0.19988,0.267387,0.598765,0.901235,28468.79,506539
564,46629188.0,45776384.4,0.264609,0.198416,0.262242,0.611702,0.87766,7856.02,507515
356,78291442.0,75452833.1,0.209478,0.176572,0.230855,0.646067,0.91573,22989.93,507843
26,2455054.0,1838245.65,0.403126,0.430043,0.44041,0.346154,0.653846,26193.95,508456
183,34816141.0,31460128.06,0.46635,0.30423,0.617114,0.420765,0.68306,40546.0,508599
154,13932981.0,12023436.01,0.330102,0.286713,0.307737,0.428571,0.850649,16488.91,509417
752,60788550.0,56086960.49,0.223671,0.176545,0.247084,0.655585,0.913564,8437.3,509434
97,15682485.0,12997732.41,0.282727,0.173228,0.21001,0.639175,0.958763,17713.01,510003
215,19958831.0,17456013.48,0.256676,0.184978,0.260991,0.655814,0.897674,12675.18,511293
49,3651652.0,4074610.38,0.342456,0.270323,0.455333,0.408163,0.77551,16549.93,551180
76,13545994.0,11324847.11,0.328372,0.255888,0.351763,0.486842,0.789474,34779.19,551228
40,1759218.0,1409335.25,0.337759,0.212078,0.228669,0.625,0.95,5597.16,551732
56,3114362.0,2792522.81,0.318045,0.225001,0.281427,0.571429,0.839286,7837.87,551736
313,20119728.0,18603048.87,0.319209,0.229502,0.326275,0.527157,0.805112,11313.97,554973
472,22912924.0,22330898.04,0.208329,0.158427,0.195776,0.705508,0.957627,5080.1,555003
253,30311356.0,26843560.19,0.33448,0.24612,0.328892,0.505929,0.806324,18184.58,555421
397,79024191.0,69980539.57,0.286084,0.249019,0.343367,0.501259,0.808564,20719.78,558754
124,11272664.0,10808502.81,0.231883,0.195729,0.227453,0.580645,0.927419,14499.6,558846
