date,genre,rank,shop,source,sales,sales_low,sales_high,lower_rank,upper_rank,lower_sales,upper_sales
2020-04-01,100181,1,,estimated,25140.96,11945.33,56524.71,,,,
2020-04-01,100181,2,,estimated,25140.96,11945.33,56524.71,,,,
2020-04-01,100181,3,,estimated,25140.96,11945.33,56524.71,,,,
2020-04-01,100181,4,,estimated,25140.96,11945.33,56524.71,,,,
2020-04-01,100181,5,,estimated,22960.05,10909.11,51621.34,,,,
2020-04-01,100181,6,,estimated,22960.05,10909.11,51621.34,,,,
2020-04-01,100181,7,,estimated,22960.05,10909.11,51621.34,,,,
2020-04-01,100181,8,,estimated,20545.8,9762.02,46193.37,,,,
2020-04-01,100181,9,,estimated,18928.39,8993.53,42556.91,,,,
2020-04-01,100181,10,,estimated,18471.39,8776.39,41529.45,,,,
2020-04-01,100181,11,,estimated,16210.54,7702.19,36446.36,,,,
2020-04-01,100181,12,,estimated,16210.54,7702.19,36446.36,,,,
2020-04-01,100181,13,,estimated,16210.54,7702.19,36446.36,,,,
2020-04-01,100181,14,,estimated,16210.54,7702.19,36446.36,,,,
2020-04-01,100181,15,,estimated,16210.54,7702.19,36446.36,,,,
2020-04-01,100181,16,,estimated,15439.3,7335.74,34712.35,,,,
2020-04-01,100181,17,,estimated,15439.3,7335.74,34712.35,,,,
2020-04-01,100181,18,,estimated,15439.3,7335.74,34712.35,,,,
2020-04-01,100181,19,,estimated,15439.3,7335.74,34712.35,,,,
2020-04-01,100181,20,,estimated,15439.3,7335.74,34712.35,,,,
2020-04-01,100487,1,,estimated,62589.21,29738.29,140720.05,,,,
2020-04-01,100487,2,,estimated,45427.03,21583.95,102134.13,,,,
2020-04-01,100487,3,,estimated,41176.52,19564.38,92577.66,,,,
2020-04-01,100487,4,,estimated,31859.49,15137.54,71630.08,,,,
2020-04-01,100487,5,,estimated,31859.49,15137.54,71630.08,,,,
2020-04-01,100487,6,,estimated,27162.27,12905.73,61069.25,,,,
2020-04-01,100487,7,,estimated,27162.27,12905.73,61069.25,,,,
2020-04-01,100487,8,,estimated,27162.27,12905.73,61069.25,,,,
2020-04-01,100487,9,,estimated,26079.55,12391.29,58634.96,,,,
2020-04-01,100487,10,,estimated,23966.91,11387.5,53885.08,,,,
2020-04-01,100487,11,,estimated,23966.91,11387.5,53885.08,,,,
2020-04-01,100487,12,,estimated,22905.47,10883.18,51498.63,,,,
2020-04-01,100487,13,,estimated,22905.47,10883.18,51498.63,,,,
2020-04-01,100487,14,,estimated,22110.67,10505.54,49711.69,,,,
2020-04-01,100487,15,,estimated,21769.63,10343.5,48944.91,,,,
2020-04-01,100487,16,,estimated,21769.63,10343.5,48944.91,,,,
2020-04-01,100487,17,,estimated,21769.63,10343.5,48944.91,,,,
2020-04-01,100487,18,,estimated,21769.63,10343.5,48944.91,,,,
2020-04-01,100487,19,,estimated,21769.63,10343.5,48944.91,,,,
2020-04-01,100487,20,,estimated,21573.2,10250.17,48503.27,,,,
2020-04-01,100992,1,,estimated,327501.12,155607.06,599867.54,,,,
2020-04-01,100992,2,,estimated,181884.36,86419.52,333148.56,,,,
2020-04-01,100992,3,,estimated,138798.77,65948.07,254230.82,,,,
2020-04-01,100992,4,,estimated,120910.99,57448.97,221466.65,,,,
2020-04-01,100992,5,,estimated,111264.96,52865.81,203798.5,,,,
2020-04-01,100992,6,,estimated,92794.73,44089.97,169967.49,,,,
2020-04-01,100992,7,,estimated,84385.68,40094.54,154565.06,,,,
2020-04-01,100992,8,,estimated,84385.68,40094.54,154565.06,,,,
2020-04-01,100992,9,,estimated,68162.81,32386.5,124850.44,,,,
2020-04-01,100992,10,,estimated,63058.7,29961.36,115501.48,,,,
2020-04-01,100992,11,,estimated,59961.42,28489.73,109828.35,,,,
2020-04-01,100992,12,,estimated,58976.16,28021.6,108023.71,,,,
