date,genre,rank,shop,source,sales,lower_rank,upper_rank,lower_sales,upper_sales
2025-05-01,100181,1,141,actual,,,,,
2025-05-01,100181,1,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,2,67868,actual,,,,,
2025-05-01,100181,2,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,3,40920,actual,,,,,
2025-05-01,100181,3,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,4,17793,actual,,,,,
2025-05-01,100181,4,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,5,18894,actual,,,,,
2025-05-01,100181,5,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,6,67868,actual,,,,,
2025-05-01,100181,6,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,7,33343,actual,,,,,
2025-05-01,100181,7,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,8,52242,actual,,,,,
2025-05-01,100181,8,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,9,16549,actual,,,,,
2025-05-01,100181,9,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,10,33343,actual,,,,,
2025-05-01,100181,10,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,11,16549,actual,,,,,
2025-05-01,100181,11,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,12,77633,actual,,,,,
2025-05-01,100181,12,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,13,55248,actual,,,,,
2025-05-01,100181,13,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,14,16549,actual,,,,,
2025-05-01,100181,14,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,15,8026,actual,,,,,
2025-05-01,100181,15,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,16,33343,actual,,,,,
2025-05-01,100181,16,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,17,16549,actual,,,,,
2025-05-01,100181,17,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,18,16549,actual,,,,,
2025-05-01,100181,18,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,19,33343,actual,,,,,
2025-05-01,100181,19,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100181,20,16549,actual,,,,,
2025-05-01,100181,20,,estimated,6980.0,54,54,6980.0,6980.0
2025-05-01,100487,1,9612,actual,,,,,
2025-05-01,100487,1,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,2,20495,actual,,,,,
2025-05-01,100487,2,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,3,21091,actual,,,,,
2025-05-01,100487,3,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,4,9612,actual,,,,,
2025-05-01,100487,4,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,5,6898,actual,,,,,
2025-05-01,100487,5,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,6,43446,actual,,,,,
2025-05-01,100487,6,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,7,1265,actual,,,,,
2025-05-01,100487,7,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,8,18832,actual,,,,,
2025-05-01,100487,8,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,9,31726,actual,,,,,
2025-05-01,100487,9,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,10,15084,actual,,,,,
2025-05-01,100487,10,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,11,43446,actual,,,,,
2025-05-01,100487,11,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,12,6367,actual,,,,,
2025-05-01,100487,12,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,13,3300,actual,,,,,
2025-05-01,100487,13,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,14,30033,actual,,,,,
2025-05-01,100487,14,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,15,11145,actual,,,,,
2025-05-01,100487,15,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,16,55740,actual,,,,,
2025-05-01,100487,16,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,17,55740,actual,,,,,
2025-05-01,100487,17,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,18,21016,actual,50000.0,,,,
2025-05-01,100487,19,30033,actual,,,,,
2025-05-01,100487,19,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100487,20,2556,actual,,,,,
2025-05-01,100487,20,,estimated,50000.0,18,18,50000.0,50000.0
2025-05-01,100992,1,62308,actual,601082.0,,,,
2025-05-01,100992,2,43273,actual,,,,,
2025-05-01,100992,2,,estimated,331604.37,1,3,601082.0,182939.0
