date,shop,genre,predicted_sales
2019-05-01,10130,206440,19926
2019-05-02,10130,206440,19834
2019-05-03,10130,206440,15151
2019-05-04,10130,206440,15535
2019-05-05,10130,206440,22574
2019-05-06,10130,206440,15870
2019-05-07,10130,206440,17151
2019-05-08,10130,206440,19655
2019-05-09,10130,206440,19387
2019-05-10,10130,206440,28094
2019-05-11,10130,206440,23189
2019-05-12,10130,206440,25494
2019-05-13,10130,206440,22144
2019-05-14,10130,206440,24227
2019-05-15,10130,206440,26643
2019-05-16,10130,206440,28154
2019-05-17,10130,206440,26368
2019-05-18,10130,206440,27438
2019-05-19,10130,206440,21927
2019-05-20,10130,206440,28182
2019-05-21,10130,206440,18954
2019-05-22,10130,206440,20003
2019-05-23,10130,206440,18301
2019-05-24,10130,206440,14517
2019-05-25,10130,206440,21670
2019-05-26,10130,206440,15416
2019-05-27,10130,206440,14368
2019-05-28,10130,206440,15558
2019-05-29,10130,206440,16469
2019-05-30,10130,206440,22517
2019-05-31,10130,206440,16082
2019-05-01,10130,206471,568
2019-05-02,10130,206471,629
2019-05-03,10130,206471,575
2019-05-04,10130,206471,779
2019-05-05,10130,206471,1183
2019-05-06,10130,206471,766
2019-05-07,10130,206471,1022
2019-05-08,10130,206471,978
2019-05-09,10130,206471,876
2019-05-10,10130,206471,1135
2019-05-11,10130,206471,675
2019-05-12,10130,206471,782
2019-05-13,10130,206471,994
2019-05-14,10130,206471,1444
2019-05-15,10130,206471,1925
2019-05-16,10130,206471,2039
2019-05-17,10130,206471,2053
2019-05-18,10130,206471,2614
2019-05-19,10130,206471,2155
2019-05-20,10130,206471,2518
2019-05-21,10130,206471,1559
2019-05-22,10130,206471,1520
2019-05-23,10130,206471,1441
2019-05-24,10130,206471,1422
2019-05-25,10130,206471,2005
2019-05-26,10130,206471,1606
2019-05-27,10130,206471,1393
2019-05-28,10130,206471,1270
2019-05-29,10130,206471,1250
2019-05-30,10130,206471,1630
2019-05-31,10130,206471,1056
