date,shop,genre,predicted_sales,predicted_sales_low,predicted_sales_high,predicted_units,predicted_units_low,predicted_units_high,predicted_page_views,predicted_page_views_low,predicted_page_views_high
2022-06-01,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-02,10047,567434,164,16,1446,0,0,0,1,0,2
2022-06-03,10047,567434,157,16,1385,0,0,0,1,0,2
2022-06-04,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-05,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-06,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-07,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-08,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-09,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-10,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-11,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-12,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-13,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-14,10047,567434,168,17,1482,0,0,0,1,0,2
2022-06-15,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-16,10047,567434,164,16,1446,0,0,0,1,0,2
2022-06-17,10047,567434,157,16,1385,0,0,0,1,0,2
2022-06-18,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-19,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-20,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-21,10047,567434,168,17,1482,0,0,0,1,0,2
2022-06-22,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-23,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-24,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-25,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-26,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-27,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-28,10047,567434,168,17,1482,0,0,0,1,0,2
2022-06-29,10047,567434,172,17,1517,0,0,0,1,0,2
2022-06-30,10047,567434,178,18,1570,0,0,0,1,0,2
2022-06-01,10130,206440,46946,4695,389300,17,6,38,399,122,922
2022-06-02,10130,206440,44969,4497,372906,17,6,38,390,119,901
2022-06-03,10130,206440,41741,4174,346138,16,5,36,385,117,890
2022-06-04,10130,206440,46946,4695,389300,17,6,38,407,124,941
2022-06-05,10130,206440,46946,4695,389300,17,6,38,407,124,941
2022-06-06,10130,206440,46946,4695,389300,17,6,38,407,124,941
2022-06-07,10130,206440,46946,4695,389300,17,6,38,407,124,941
2022-06-08,10130,206440,46946,4695,389300,17,6,38,407,124,941
2022-06-09,10130,206440,46946,4695,389300,17,6,38,407,124,941
2022-06-10,10130,206440,46946,4695,389300,17,6,38,407,124,941
