date,shop,genre,predicted_sales,predicted_units,predicted_page_views,predicted_page_views_low,predicted_page_views_high
2024-05-03,10008,100487,39,0,2,1,5
2024-05-04,10008,100487,43,0,2,1,5
2024-05-06,10008,100487,39,0,2,1,5
2024-05-07,10008,100487,38,0,2,1,5
2024-05-08,10008,100487,42,0,2,1,5
2024-05-12,10008,100487,48,0,2,1,5
2024-05-13,10008,100487,42,0,2,1,5
2024-05-20,10008,100487,55,0,2,1,5
2024-05-21,10008,100487,38,0,2,1,5
2024-05-23,10008,100487,44,0,2,1,5
2024-05-24,10008,100487,42,0,2,1,5
2024-05-28,10008,100487,38,0,2,1,5
2024-05-30,10008,100487,57,0,2,1,5
2024-05-31,10008,100487,39,0,2,1,5
2024-05-05,10008,205611,0,0,1,0,2
2024-05-07,10008,205611,0,0,2,1,4
2024-05-08,10008,205611,0,0,2,1,4
2024-05-10,10008,205611,0,0,2,1,4
2024-05-11,10008,205611,0,0,2,1,4
2024-05-12,10008,205611,0,0,2,1,4
2024-05-13,10008,205611,0,0,2,1,4
2024-05-14,10008,205611,0,0,2,1,4
2024-05-20,10008,205611,0,0,2,1,4
2024-05-21,10008,205611,0,0,2,1,4
2024-05-22,10008,205611,0,0,2,1,4
2024-05-23,10008,205611,0,0,1,0,2
2024-05-25,10008,205611,0,0,1,0,2
2024-05-26,10008,205611,0,0,1,0,2
2024-05-30,10008,205611,0,0,2,1,4
2024-05-01,10008,206440,515,0,1,0,2
2024-05-03,10008,206440,398,0,1,0,2
2024-05-04,10008,206440,397,0,1,0,2
2024-05-05,10008,206440,576,0,1,0,2
2024-05-06,10008,206440,356,0,1,0,2
2024-05-07,10008,206440,376,0,2,1,5
2024-05-08,10008,206440,398,0,2,1,5
2024-05-11,10008,206440,489,0,3,1,7
2024-05-13,10008,206440,208,0,2,1,5
2024-05-14,10008,206440,219,0,2,1,5
2024-05-15,10008,206440,250,0,3,1,7
2024-05-16,10008,206440,231,0,3,1,7
2024-05-20,10008,206440,229,0,2,1,5
2024-05-21,10008,206440,158,0,2,1,5
2024-05-22,10008,206440,165,0,2,1,5
2024-05-23,10008,206440,215,0,2,1,5
2024-05-25,10008,206440,225,0,2,1,5
2024-05-26,10008,206440,200,0,2,1,5
2024-05-27,10008,206440,174,0,3,1,7
2024-05-28,10008,206440,143,0,2,1,5
2024-05-29,10008,206440,150,0,3,1,7
2024-05-30,10008,206440,207,0,3,1,7
2024-05-31,10008,206440,138,0,3,1,7
2024-05-01,10008,206471,47,0,3,1,6
2024-05-02,10008,206471,40,0,3,1,6
2024-05-03,10008,206471,451,0,4,1,8
2024-05-04,10008,206471,459,0,5,2,11
2024-05-05,10008,206471,649,0,6,2,13
2024-05-06,10008,206471,419,0,7,2,15
2024-05-07,10008,206471,441,0,7,2,15
2024-05-08,10008,206471,462,0,7,2,15
2024-05-10,10008,206471,645,0,7,2,15
2024-05-11,10008,206471,260,0,7,2,15
2024-05-12,10008,206471,275,0,6,2,13
2024-05-13,10008,206471,234,0,6,2,13
2024-05-15,10008,206471,275,0,4,1,8
2024-05-16,10008,206471,258,0,4,1,8
2024-05-20,10008,206471,269,0,4,1,8
2024-05-21,10008,206471,186,0,4,1,8
2024-05-22,10008,206471,194,0,4,1,8
2024-05-23,10008,206471,255,0,5,2,11
2024-05-24,10008,206471,247,0,4,1,8
2024-05-25,10008,206471,270,0,5,2,11
2024-05-26,10008,206471,269,0,5,2,11
2024-05-27,10008,206471,229,0,5,2,11
2024-05-28,10008,206471,184,0,5,2,11
2024-05-29,10008,206471,193,0,6,2,13
2024-05-30,10008,206471,270,0,6,2,13
2024-05-31,10008,206471,187,0,6,2,13
2024-05-01,10008,207288,23,0,13,5,28
2024-05-02,10008,207288,19,0,12,4,25
2024-05-03,10008,207288,18,0,12,4,25
2024-05-04,10008,207288,19,0,12,4,25
2024-05-05,10008,207288,15,0,12,4,25
2024-05-06,10008,207288,10,0,12,4,25
2024-05-07,10008,207288,10,0,12,4,25
2024-05-08,10008,207288,82,0,12,4,25
2024-05-09,10008,207288,85,0,13,5,28
2024-05-10,10008,207288,104,0,13,5,28
2024-05-11,10008,207288,162,0,13,5,28
2024-05-12,10008,207288,181,0,13,5,28
2024-05-13,10008,207288,167,0,14,5,30
2024-05-14,10008,207288,159,0,14,5,30
2024-05-15,10008,207288,127,0,15,5,32
2024-05-16,10008,207288,96,0,14,5,30
2024-05-20,10008,207288,132,0,14,5,30
2024-05-21,10008,207288,32,0,13,5,28
2024-05-22,10008,207288,32,0,12,4,25
2024-05-23,10008,207288,33,0,11,4,23
2024-05-24,10008,207288,32,0,10,4,21
2024-05-25,10008,207288,43,0,11,4,23
2024-05-26,10008,207288,38,0,12,4,25
2024-05-27,10008,207288,35,0,13,5,28
2024-05-28,10008,207288,32,0,13,5,28
2024-05-29,10008,207288,32,0,13,5,28
2024-05-30,10008,207288,41,0,13,5,28
2024-05-31,10008,207288,29,0,13,5,28
2024-05-01,10008,214099,105,0,2,1,5
2024-05-02,10008,214099,104,0,2,1,5
2024-05-03,10008,214099,103,0,2,1,5
2024-05-05,10008,214099,161,0,3,1,7
2024-05-06,10008,214099,73,0,2,1,5
2024-05-07,10008,214099,70,0,2,1,5
2024-05-08,10008,214099,102,0,2,1,5
2024-05-10,10008,214099,146,0,2,1,5
2024-05-11,10008,214099,123,0,2,1,5
2024-05-12,10008,214099,140,0,3,1,7
2024-05-14,10008,214099,111,0,2,1,5
2024-05-15,10008,214099,159,0,3,1,7
2024-05-16,10008,214099,98,0,3,1,7
2024-05-20,10008,214099,132,0,3,1,7
2024-05-21,10008,214099,79,0,3,1,7
2024-05-22,10008,214099,72,0,3,1,7
2024-05-23,10008,214099,72,0,3,1,7
2024-05-24,10008,214099,72,0,3,1,7
2024-05-25,10008,214099,151,0,3,1,7
2024-05-26,10008,214099,101,0,3,1,7
2024-05-27,10008,214099,72,0,2,1,5
2024-05-28,10008,214099,72,0,2,1,5
2024-05-29,10008,214099,66,0,3,1,7
2024-05-30,10008,214099,99,0,3,1,7
2024-05-31,10008,214099,66,0,4,1,10
2024-05-01,10008,401534,0,0,1,0,2
2024-05-02,10008,401534,0,0,1,0,2
2024-05-03,10008,401534,0,0,1,0,2
2024-05-05,10008,401534,0,0,1,0,2
2024-05-06,10008,401534,0,0,2,1,4
2024-05-07,10008,401534,0,0,1,0,2
2024-05-08,10008,401534,0,0,1,0,2
2024-05-09,10008,401534,0,0,2,1,4
2024-05-10,10008,401534,0,0,2,1,4
2024-05-11,10008,401534,0,0,2,1,4
2024-05-12,10008,401534,0,0,2,1,4
2024-05-13,10008,401534,0,0,2,1,4
2024-05-15,10008,401534,0,0,2,1,4
2024-05-16,10008,401534,0,0,2,1,4
2024-05-20,10008,401534,0,0,2,1,4
2024-05-22,10008,401534,0,0,2,1,4
2024-05-23,10008,401534,0,0,2,1,4
2024-05-24,10008,401534,0,0,1,0,2
2024-05-25,10008,401534,0,0,1,0,2
2024-05-26,10008,401534,0,0,1,0,2
