genre,lag_profile,lag_7_weight,lag_28_weight,lag_90_weight,seasonal_weight,prediction_scale,validation_wape
205611,balanced,0.5,0.3,0.2,0.25,0.9693217926625651,0.721654188076418
206440,month,0.25,0.55,0.2,0.6,0.9477736707552944,0.6346404608882384
206471,month,0.25,0.55,0.2,0.35,0.9132339336291014,0.7137062483838726
216158,recent,0.7,0.2,0.1,0.6,0.6787249077922562,1.2913619264292808
216173,month,0.25,0.55,0.2,0.6,0.7362788361909904,0.604438256700711
502835,month,0.25,0.55,0.2,0.45,0.866219727972384,0.653187153526021
551732,balanced,0.5,0.3,0.2,0.6,0.7077267832572517,0.8385579531130625
558846,recent,0.7,0.2,0.1,0.45,0.7977610741911854,0.5528269210976633
558873,recent,0.7,0.2,0.1,0.6,0.7462838782828124,0.8119840183244723
560271,long,0.2,0.3,0.5,0.45,0.680537876546651,0.4146621528221258
215430,recent,0.7,0.2,0.1,0.15,1.0011895786860512,0.8286050543921355
100181,recent,0.7,0.2,0.1,0.0,0.7161754581106368,1.5459493482289084
201632,recent,0.7,0.2,0.1,0.25,0.6634639623610405,1.0692885631159113
205582,month,0.25,0.55,0.2,0.45,0.8308423139150187,1.062436828604722
401534,long,0.2,0.3,0.5,0.6,0.8351789645622703,0.7478907569349125
551228,long,0.2,0.3,0.5,0.6,0.896750242339397,0.5410670065870664
551736,long,0.2,0.3,0.5,0.6,0.7466517059589314,0.8475277871351848
563689,balanced,0.5,0.3,0.2,0.6,0.8062544668648673,0.8564046374851189
110365,balanced,0.5,0.3,0.2,0.0,0.6898697219140825,1.0395937252282006
207288,month,0.25,0.55,0.2,0.6,0.8144768261701816,0.9689446511356502
408789,long,0.2,0.3,0.5,0.45,0.9008046588914019,1.1153574702145364
205761,long,0.2,0.3,0.5,0.6,0.8957927128003944,0.9617364419951335
215913,long,0.2,0.3,0.5,0.6,0.9051376382590379,0.7641261422418292
567554,recent,0.7,0.2,0.1,0.0,0.65,1.9620508443648088
201925,recent,0.7,0.2,0.1,0.45,0.6873835492487891,0.844817287500072
202502,recent,0.7,0.2,0.1,0.6,0.7990909816267432,0.9722498023826653
204586,recent,0.7,0.2,0.1,0.6,0.7126486944596743,1.4553036443864678
208532,recent,0.7,0.2,0.1,0.35,0.76680519329021,1.2984968672531945
210413,recent,0.7,0.2,0.1,0.45,0.6811845956334099,1.4879314661005325
212377,recent,0.7,0.2,0.1,0.0,0.65,2.235381625072025
301577,balanced,0.5,0.3,0.2,0.6,0.65,0.6435816413708959
402279,month,0.25,0.55,0.2,0.45,0.7701254784030339,0.7003867630652503
407120,long,0.2,0.3,0.5,0.6,0.6811743588295092,0.6766647167187643
507515,long,0.2,0.3,0.5,0.35,0.9332628358687769,0.3996944266116434
508456,balanced,0.5,0.3,0.2,0.45,1.0164178727172568,0.8937794881045186
509434,long,0.2,0.3,0.5,0.6,0.7229008306507266,0.7044431218798218
551180,recent,0.7,0.2,0.1,0.25,0.8371464185174229,0.5757153325316672
204964,month,0.25,0.55,0.2,0.45,0.6924230472538544,0.5009553680982052
206361,month,0.25,0.55,0.2,0.6,0.8140521372815663,0.4809967039352383
206363,recent,0.7,0.2,0.1,0.25,0.6948796128969866,1.3112340543936993
567434,month,0.25,0.55,0.2,0.35,0.6520918589476468,0.7746650250765734
216424,long,0.2,0.3,0.5,0.6,0.7702370529438692,0.9150001247551262
502221,long,0.2,0.3,0.5,0.6,0.9352270841475274,1.2323399494449676
101535,month,0.25,0.55,0.2,0.6,1.1343462010008438,0.8288360040414289
110409,balanced,0.5,0.3,0.2,0.6,0.9912722827579563,1.1021005967745445
201351,long,0.2,0.3,0.5,0.35,0.8346889599288253,0.6739523465917193
207774,long,0.2,0.3,0.5,0.6,1.3350004234847206,0.8619268953819705
214099,long,0.2,0.3,0.5,0.6,0.6598408217304153,1.0611345102985896
566647,recent,0.7,0.2,0.1,0.0,0.65,1.070783376937441
567645,month,0.25,0.55,0.2,0.6,1.0244310384257553,0.6574097658424748
101954,month,0.25,0.55,0.2,0.6,0.7394382630157372,1.159883223545607
205272,month,0.25,0.55,0.2,0.6,0.8350266599878373,0.806432090531451
100487,long,0.2,0.3,0.5,0.6,0.81949629584026,1.2473288320264349
204934,month,0.25,0.55,0.2,0.0,0.9907228988703821,0.5193319265960861
207966,recent,0.7,0.2,0.1,0.15,0.8846376783268564,0.7466946907615073
565724,long,0.2,0.3,0.5,0.45,0.8664998301505428,0.6217840173331864
402018,long,0.2,0.3,0.5,0.6,1.0306730415822538,0.5286919842949708
