genre,lag_profile,lag_7_weight,lag_28_weight,lag_90_weight,seasonal_weight,prediction_scale,validation_wape
205611,very_recent,0.84,0.12,0.04,0.0,1.0937471914443233,0.29180696582895815
206440,recent,0.7,0.2,0.1,0.15,0.9708464416821215,0.3531489216562498
206471,recent,0.7,0.2,0.1,0.1,0.9668755044031219,0.29689923736176016
216158,very_recent,0.84,0.12,0.04,0.1,0.8994872947797401,0.4199752433407212
216173,two_week,0.58,0.34,0.08,0.15,0.9644219337405382,0.3167800437060751
502835,recent,0.7,0.2,0.1,0.25,0.9818860060484816,0.24004895578107252
551732,recent,0.7,0.2,0.1,0.1,0.9480451086527205,0.4108017221369807
558846,very_recent,0.84,0.12,0.04,0.25,0.9544364550380848,0.23126824179335384
558873,very_recent,0.84,0.12,0.04,0.0,1.064178003097878,0.3545184703894178
560271,recent,0.7,0.2,0.1,0.15,0.9266138992554867,0.22014670339031314
215430,very_recent,0.84,0.12,0.04,0.15,1.0083077957130862,0.29580360913293685
100181,recent,0.7,0.2,0.1,0.1,0.9376134480571029,0.4262975716604125
201632,very_recent,0.84,0.12,0.04,0.15,0.9699002234083706,0.2894113264193337
205582,two_week,0.58,0.34,0.08,0.15,0.978075998736085,0.38667948657610646
401534,recent,0.7,0.2,0.1,0.1,0.9738296690500644,0.27463575351047426
551228,balanced,0.5,0.3,0.2,0.35,0.9903263380278984,0.25643148883383066
551736,very_recent,0.84,0.12,0.04,0.0,0.9713156553101558,0.4399816685310029
563689,very_recent,0.84,0.12,0.04,0.0,1.0492201722733336,0.2777393543767419
110365,recent,0.7,0.2,0.1,0.1,0.932468650755597,0.3498996025923498
207288,recent,0.7,0.2,0.1,0.15,0.9851745922326794,0.3043720996162725
408789,balanced,0.5,0.3,0.2,0.25,0.961568077226869,0.28328036761861014
205761,balanced,0.5,0.3,0.2,0.25,1.0417357607891302,0.38056560716965493
215913,balanced,0.5,0.3,0.2,0.25,1.014605404854546,0.24810364011535194
567554,very_recent,0.84,0.12,0.04,0.15,0.9844214994648188,0.45649796409908217
201925,very_recent,0.84,0.12,0.04,0.0,0.9951424448286661,0.35391877229776825
202502,very_recent,0.84,0.12,0.04,0.0,0.9864587194619703,0.26972998940482174
204586,very_recent,0.84,0.12,0.04,0.0,0.9677777944918095,0.4103702307960531
208532,recent,0.7,0.2,0.1,0.1,1.0293872176795609,0.44016286256581577
210413,recent,0.7,0.2,0.1,0.1,1.0028075110563246,0.5641541739446722
212377,recent,0.7,0.2,0.1,0.15,0.9207784323719211,0.503966178561201
301577,very_recent,0.84,0.12,0.04,0.15,0.9291229055905575,0.266069831998165
402279,recent,0.7,0.2,0.1,0.1,0.9533025048303644,0.26917097478058494
407120,balanced,0.5,0.3,0.2,0.25,0.8827637846719606,0.3114738064753278
507515,recent,0.7,0.2,0.1,0.1,1.002351107424915,0.20866031102263946
508456,recent,0.7,0.2,0.1,0.25,0.9721787220386109,0.40316433074265723
509434,long,0.2,0.3,0.5,0.75,0.812290390175434,0.3150616893756709
551180,recent,0.7,0.2,0.1,0.1,0.9168994352910672,0.30239823485940975
204964,recent,0.7,0.2,0.1,0.1,0.9612110212818168,0.2179305013599155
206361,recent,0.7,0.2,0.1,0.15,0.9971380537553881,0.19512098731943686
206363,recent,0.7,0.2,0.1,0.15,0.8868400105194483,0.38803809655453203
567434,very_recent,0.84,0.12,0.04,0.1,0.9326668911161459,0.40794956425741913
