genre,lag_profile,lag_7_weight,lag_28_weight,lag_90_weight,seasonal_weight,prediction_scale,validation_wape
100487,long,0.2,0.3,0.5,0.35,0.680771641072247,0.7120065534930503
205611,very_recent,0.84,0.12,0.04,0.0,0.8333481491165383,0.6533310745605191
206440,recent,0.7,0.2,0.1,0.6,0.7639616288997084,0.5931778809620489
206471,balanced,0.5,0.3,0.2,0.1,0.8116619366860007,0.6759322102908416
207288,long,0.2,0.3,0.5,0.75,0.7559465816171361,0.8049973402488708
214099,long,0.2,0.3,0.5,0.6,0.5500440937226254,0.8523436083554554
401534,balanced,0.5,0.3,0.2,0.35,0.8431151597996597,0.7008196295351923
408789,balanced,0.5,0.3,0.2,0.75,0.7427873395440087,0.8022783198228818
506539,balanced,0.5,0.3,0.2,0.45,0.7382286747050146,0.5713153668735268
551228,very_recent,0.84,0.12,0.04,0.45,0.8730972968306321,0.7350509426171791
560271,very_long,0.1,0.25,0.65,0.45,0.7816807915944208,0.3273826541217597
201925,balanced,0.5,0.3,0.2,0.6,0.7285576675329082,0.7582478502813281
216424,very_long,0.1,0.25,0.65,0.75,0.8060172862498733,0.8161050369260167
510003,two_week,0.58,0.34,0.08,0.75,0.6897904235043396,0.7588565189662142
567538,long,0.2,0.3,0.5,0.75,0.7165051602310409,0.7556303683048836
567623,balanced,0.5,0.3,0.2,0.6,0.7784356216339585,0.5807859439624782
567434,month,0.25,0.55,0.2,0.25,0.7548525296556756,0.7659100905355446
216158,month,0.25,0.55,0.2,0.25,0.8785103283074243,0.4149051342376045
216173,long,0.2,0.3,0.5,0.75,0.7077985051090816,0.563050136162949
502835,month,0.25,0.55,0.2,0.75,0.7514658618012859,0.5468879889356019
508456,two_week,0.58,0.34,0.08,0.45,0.7260734411080444,0.7757333200173119
551180,two_week,0.58,0.34,0.08,0.25,0.8870469152300244,0.6102233750276644
551732,long,0.2,0.3,0.5,0.75,0.739962793297839,0.7744561145397341
558846,two_week,0.58,0.34,0.08,0.45,0.8379942857622781,0.6160938377653149
558873,two_week,0.58,0.34,0.08,0.25,0.8707469568223067,0.7836859522438325
205761,balanced,0.5,0.3,0.2,0.35,0.8164905177514393,0.8263337580351932
206363,two_week,0.58,0.34,0.08,0.75,0.8733061167253409,0.7760906746185822
304080,recent,0.7,0.2,0.1,0.75,0.8143623745936635,0.6524799499026586
407120,long,0.2,0.3,0.5,0.6,0.6079207977183148,0.6811297636440021
502221,balanced,0.5,0.3,0.2,0.75,0.7329651315253836,1.1280108912366178
502280,long,0.2,0.3,0.5,0.75,0.7465508602587579,0.7256350819680348
215430,very_recent,0.84,0.12,0.04,0.15,0.8620441947420284,0.7192567153009121
100181,very_recent,0.84,0.12,0.04,0.75,0.8401814243213539,0.9808475430026816
201632,long,0.2,0.3,0.5,0.45,0.8994573007734517,0.7122106366125508
205582,balanced,0.5,0.3,0.2,0.35,0.7930661704415828,0.7204190994255538
551736,long,0.2,0.3,0.5,0.75,0.699741782753472,0.7634404691383726
563689,very_recent,0.84,0.12,0.04,0.45,0.5909451000038057,0.8520637713316334
110365,balanced,0.5,0.3,0.2,0.0,0.9801640510009156,0.5372441273381069
402279,balanced,0.5,0.3,0.2,0.6,0.8040599553061752,0.7103871180746391
206361,long,0.2,0.3,0.5,0.6,0.7624740586800527,0.4647333041931398
215913,month,0.25,0.55,0.2,0.75,0.7190666410877684,0.8439819766401595
567554,balanced,0.5,0.3,0.2,0.75,0.5517045021340012,0.8828572137831655
202502,very_recent,0.84,0.12,0.04,0.1,0.7029229436241196,0.3221153976524109
204586,two_week,0.58,0.34,0.08,0.75,0.7003086705992642,0.7249506843158059
208532,very_recent,0.84,0.12,0.04,0.75,0.744353738582189,1.0512723019307297
210413,recent,0.7,0.2,0.1,0.25,0.9276237438250431,0.8778476746290484
212377,two_week,0.58,0.34,0.08,0.75,0.55,1.2063663383645404
301577,balanced,0.5,0.3,0.2,0.15,0.9439216325194651,0.59276183896432
507515,very_long,0.1,0.25,0.65,0.35,0.8560770557903514,0.40155555584078156
509434,long,0.2,0.3,0.5,0.75,0.646821698621202,0.5775501221295313
564895,balanced,0.5,0.3,0.2,0.45,0.8095514292160375,0.8627623251942631
204964,long,0.2,0.3,0.5,0.6,0.8663218930607581,0.541219038431844
204934,very_long,0.1,0.25,0.65,0.25,0.8387364709025557,0.4557893612503522
207966,very_recent,0.84,0.12,0.04,0.45,0.9207364969778329,0.5549441679273339
506012,very_recent,0.84,0.12,0.04,0.1,0.8873840546884679,0.678962538581369
554973,very_long,0.1,0.25,0.65,0.45,1.0524623030878562,0.5891685472870852
101535,recent,0.7,0.2,0.1,0.45,0.781110830991043,0.808900737905814
110409,month,0.25,0.55,0.2,0.75,0.6054801010778412,1.0248852265749768
110435,two_week,0.58,0.34,0.08,0.75,0.8024348050883551,0.5904844976263542
200181,balanced,0.5,0.3,0.2,0.45,0.7659042102791901,0.7828251830345918
201184,balanced,0.5,0.3,0.2,0.75,0.7058134389898993,0.688057640602097
207774,month,0.25,0.55,0.2,0.75,0.8908258983005856,0.5852625201068185
207802,long,0.2,0.3,0.5,0.75,0.7463966202656375,0.73029509660849
214104,month,0.25,0.55,0.2,0.75,0.8012136629867329,1.185734572466189
402018,very_recent,0.84,0.12,0.04,0.0,0.7949240800613501,0.742887916228353
501098,month,0.25,0.55,0.2,0.6,0.55,0.7646417269682225
566647,month,0.25,0.55,0.2,0.75,0.7153148317264175,0.6976133338429968
201351,very_long,0.1,0.25,0.65,0.15,0.8225448092854513,0.5393932214018907
567645,very_long,0.1,0.25,0.65,0.75,0.6157994202814719,0.6759033725407879
555421,long,0.2,0.3,0.5,0.35,0.8455037936672851,0.47816699520241596
101954,very_recent,0.84,0.12,0.04,0.35,0.8601667379978045,1.0459478170405279
205272,balanced,0.5,0.3,0.2,0.45,0.7833939822925178,0.8264889584548316
565724,month,0.25,0.55,0.2,0.75,0.7343169072021862,0.5198722534421915
101020,very_long,0.1,0.25,0.65,0.6,0.57841953572347,0.6845036090228875
214781,very_long,0.1,0.25,0.65,0.75,0.7279119050424245,0.657741975354737
507843,long,0.2,0.3,0.5,0.75,0.7326487959209517,0.48757583875918414
508599,very_long,0.1,0.25,0.65,0.75,0.6008308924003175,1.1588285848949624
401131,two_week,0.58,0.34,0.08,0.45,0.7904744953618291,0.6849483635396205
506536,recent,0.7,0.2,0.1,0.6,0.55,0.5437940149731212
564647,balanced,0.5,0.3,0.2,0.45,0.5946507009787269,0.6982793515920562
555003,recent,0.7,0.2,0.1,0.45,0.7545360038259714,0.24845140230460086
566061,very_long,0.1,0.25,0.65,0.75,0.7020121020646862,0.5896172897707331
567251,balanced,0.5,0.3,0.2,0.35,0.7359701170518481,0.6321717700722025
509417,very_recent,0.84,0.12,0.04,0.25,0.8206793421847163,0.7196512698969537
564286,very_long,0.1,0.25,0.65,0.75,0.6417050927073037,0.7096083208538044
566403,very_long,0.1,0.25,0.65,0.6,0.7703658458849437,0.6326594920214373
210022,very_long,0.1,0.25,0.65,0.15,1.020516143208702,0.4091331348496648
563339,very_long,0.1,0.25,0.65,0.6,0.6852796717654233,0.5070936587426557
563342,very_long,0.1,0.25,0.65,0.75,0.698558689131209,0.5261601161603987
567662,long,0.2,0.3,0.5,0.75,0.7067068102517966,0.452701777391568
567664,very_long,0.1,0.25,0.65,0.75,0.7209330602724002,0.6179344480705387
100992,balanced,0.5,0.3,0.2,0.35,0.6818789565992013,0.42973340245068997
304763,very_long,0.1,0.25,0.65,0.45,1.0055223052922961,0.43811532431378336
201486,very_long,0.1,0.25,0.65,0.6,0.6479676582199906,0.42156600574445874
101384,balanced,0.5,0.3,0.2,0.75,0.7479531520137304,0.7215473753353191
567665,recent,0.7,0.2,0.1,0.75,0.5864572200020085,0.6201391687373531
110632,month,0.25,0.55,0.2,0.45,0.6220073633264492,0.6375625635800061
511293,very_long,0.1,0.25,0.65,0.45,0.7133340628405338,0.6805571995714222
