date,genre,predicted_sales,predicted_sales_low,predicted_sales_high
2022-03-01,all,6495250,6484798,7099376
2022-03-02,all,4934795,4926838,5394816
2022-03-03,all,4705297,4697834,5145348
2022-03-04,all,7355453,7343923,8051293
2022-03-05,all,8188702,8175754,8973589
2022-03-06,all,9131765,9117190,10042669
2022-03-07,all,8863881,8849702,9733807
2022-03-08,all,9067362,9052888,9964351
2022-03-09,all,8997078,8982711,9883642
2022-03-10,all,9313565,9298699,10242853
2022-03-11,all,9764710,9749100,10755642
2022-03-12,all,6152588,6142627,6765965
2022-03-13,all,6082056,6072258,6675660
2022-03-14,all,5475987,5467132,6005849
2022-03-15,all,7949886,7937164,8723172
2022-03-16,all,5399834,5391096,5918518
2022-03-17,all,5197410,5188983,5695638
2022-03-18,all,5852726,5843363,6404847
2022-03-19,all,4696824,4689225,5138291
2022-03-20,all,7147085,7135661,7828602
2022-03-21,all,5345405,5336785,5849424
2022-03-22,all,5411172,5402450,5924004
2022-03-23,all,5558047,5549149,6091409
2022-03-24,all,5495022,5486227,6023374
2022-03-25,all,7174132,7162774,7874885
2022-03-26,all,5915061,5905629,6495905
2022-03-27,all,6532772,6522326,7173403
2022-03-28,all,7247176,7235638,7965305
2022-03-29,all,5157848,5149548,5665679
2022-03-30,all,7222104,7210593,7928793
2022-03-31,all,4963673,4955681,5445055
2022-03-01,100181,303,303,326
2022-03-01,100487,94702,94565,115461
2022-03-01,100992,2298,2295,2641
2022-03-01,101020,5594,5586,6176
2022-03-01,101535,23771,23736,28989
2022-03-01,101954,3454,3449,4212
2022-03-01,110365,247,247,266
2022-03-01,110409,254,254,310
2022-03-01,110435,43395,43333,46729
2022-03-01,110632,4556,4549,5556
2022-03-01,200181,3878,3872,4455
2022-03-01,201184,1405,1403,1513
2022-03-01,201351,61585,61496,66316
2022-03-01,201486,2682,2678,2961
2022-03-01,201632,106841,106685,115050
2022-03-01,201925,106735,106313,114933
2022-03-01,202502,552,551,594
2022-03-01,204586,2628,2623,2901
2022-03-01,204934,0,0,0
2022-03-01,204964,205,205,221
2022-03-01,205272,8044,8032,9237
2022-03-01,205582,186839,186569,227848
2022-03-01,205611,163936,163699,176530
2022-03-01,205761,25438,25403,29219
2022-03-01,206361,69083,68983,74391
2022-03-01,206363,269447,269050,290149
2022-03-01,206440,63004,62914,67843
2022-03-01,206471,43660,43598,47014
2022-03-01,207288,90260,90132,97196
2022-03-01,207774,39224,39168,42237
2022-03-01,207802,10136,10122,11190
2022-03-01,207966,164,164,177
2022-03-01,208532,10907,10891,13286
2022-03-01,210022,1143,1141,1231
2022-03-01,210413,2743,2740,3148
2022-03-01,212377,1966,1963,2180
2022-03-01,214099,3551,3547,4119
2022-03-01,214104,3394,3389,4139
2022-03-01,214781,45213,45138,48686
2022-03-01,215430,195,195,210
2022-03-01,215913,501,500,610
2022-03-01,216158,105188,105036,113269
2022-03-01,216173,62060,61970,66827
2022-03-01,216424,25773,25737,27753
2022-03-01,301577,85156,85032,91699
2022-03-01,304080,13978,13958,15052
2022-03-01,304763,149813,149596,161322
2022-03-01,401131,27553,27514,30414
2022-03-01,401534,43223,43036,46544
2022-03-01,402018,634,633,683
2022-03-01,402279,43173,43099,46490
2022-03-01,407120,7410,7400,8515
2022-03-01,408789,46850,46712,50447
2022-03-01,501098,352,352,393
2022-03-01,502221,18433,18407,22472
2022-03-01,502280,34004,33956,36615
2022-03-01,502835,242421,242069,261046
2022-03-01,506012,50,50,57
2022-03-01,506536,1413,1412,1522
2022-03-01,506539,41139,41079,44300
2022-03-01,507843,136413,136216,146894
2022-03-01,508456,12913,12893,13907
2022-03-01,508599,377,377,406
2022-03-01,509417,31629,31582,38572
2022-03-01,509434,226689,226359,260468
2022-03-01,510003,9223,9209,9932
2022-03-01,511293,4737,4730,5777
2022-03-01,551180,184417,183693,198584
2022-03-01,551228,24537,24496,26424
2022-03-01,551732,52803,52729,60675
2022-03-01,551736,34410,34360,37983
2022-03-01,555421,239063,238716,257431
2022-03-01,558846,144065,143856,155135
2022-03-01,558873,380426,379797,409651
2022-03-01,560271,117754,117585,126802
2022-03-01,563339,218316,218000,235088
2022-03-01,563342,173251,172999,186563
2022-03-01,563689,17963,17937,19344
2022-03-01,564286,177563,177305,191205
2022-03-01,564647,154,154,188
2022-03-01,564895,176696,176439,203033
2022-03-01,565724,3012,3008,3243
2022-03-01,566061,21583,21552,23241
2022-03-01,566403,260488,260110,287556
2022-03-01,566647,29015,28973,31243
2022-03-01,567251,110,110,126
2022-03-01,567434,172,172,210
2022-03-01,567538,22998,22963,25388
2022-03-01,567554,903,891,972
2022-03-01,567623,78315,78192,84332
