event_name,display_name,rows,days,actual_sales,predicted_sales,sales_wape,actual_quantity,predicted_quantity,quantity_wape,max_point_multiplier,bonus_point_multiplier,point_cap,scope,source_url
marathon,Shopping Marathon,6076,61,2915050128.0,2740997198.370221,0.25859423904174605,431576.0,410622.94378577976,0.22769180620638538,10.0,9.0,7000.0,shop_around,https://event.rakuten.co.jp/campaign/point-up/marathon/guide/
zero-five,5 and 0 day,3484,35,2749726416.0,2692210870.5619497,0.255340424630259,401815.0,383577.11106457247,0.2200338403865509,4.0,3.0,1000.0,all_shop_card_users,https://event.rakuten.co.jp/campaign/card/pointday/
supersale,Rakuten Super Sale,1590,16,1157109803.0,1166598084.304387,0.2677703354581214,173850.0,169161.12224353245,0.23676379928564784,10.0,9.0,7000.0,shop_around,https://event.rakuten.co.jp/campaign/supersale/guide/
fashionthesale,Rakuten Fashion sale,1398,14,520147077.0,391244536.81611204,0.33715379135731294,72867.0,59206.08224828291,0.2787658393025149,2.0,1.0,1000.0,category_specific,
thank-you,Rakuten Thanksgiving Festival,792,8,388271299.0,402284259.09654284,0.2388152106302749,51452.0,53258.56094795169,0.20564394265404348,10.0,9.0,7000.0,shop_around,https://event.rakuten.co.jp/campaign/thanks
fathers-day,Father's Day seasonal event,799,8,386094019.0,362405013.5251219,0.2764901334124892,57296.0,56297.3383129758,0.24256695331941183,1.0,0.0,0.0,seasonal,
mothers-day,Mother's Day seasonal event,799,8,386094019.0,362405013.5251219,0.2764901334124892,57296.0,56297.3383129758,0.24256695331941183,1.0,0.0,0.0,seasonal,
ichiba-day,18th Ichiba Day,598,6,225450977.0,180290471.5415336,0.2985859403399388,31751.0,26345.64959037302,0.24372341993483093,4.0,3.0,1000.0,rank_member,https://event.rakuten.co.jp/campaign/rank/point/
point-back,Point-back campaign,495,5,191477082.0,198825657.1350304,0.32800097616264384,24431.0,25586.748937764387,0.2596385243155079,5.0,4.0,3000.0,eligible_items,https://event.rakuten.co.jp/incentive/ichiba/henbai/monthly/202606015x/
wonderful-day,Wonderful Day,399,4,176338523.0,146708936.84373373,0.3148421803055016,24928.0,20927.726957880892,0.3042102662628089,3.0,2.0,1000.0,all_shops,https://event.rakuten.co.jp/campaign/point-up/wonderfulday/
