event_name,display_name,active_rows,active_days,sales_correlation,quantity_correlation,combined_abs_correlation,sales_log_regression_beta,quantity_log_regression_beta,estimated_sales_lift_pct,estimated_quantity_lift_pct,kept_for_model
zero-five,5 and 0 day,13443,136,0.1527061850685206,0.2183156409284159,0.2183156409284159,1.185066547731095,0.8057120691474489,227.09044854954868,123.828974857368,True
supersale,Rakuten Super Sale,5551,56,0.088648445211424,0.1398770827042743,0.1398770827042743,1.0021847735017086,0.7520247773813908,172.42271507945193,112.1290812850378,True
marathon,Shopping Marathon,24139,245,0.0557996600629187,0.0841196973974943,0.0841196973974943,0.3593465575603591,0.2576253198623024,43.23931222307684,29.3853946419113,True
black-friday,Black Friday,1485,15,0.0460512107064311,0.059234379380394,0.059234379380394,0.975944095920502,0.5969894245579073,165.36713490183172,81.66414234427867,True
thank-you,Thanksgiving Festival,792,8,0.0513098288834158,0.0514521053158759,0.0514521053158759,1.481422979989409,0.7064648645655307,339.9201204404083,102.68135186914613,True
wonderful-day,Wonderful Day,2179,22,0.0201307129879097,0.0194451476720165,0.0201307129879097,0.3540051212681181,0.1626187206958054,42.47624830518848,17.658799550275024,False
fashionthesale,Rakuten Fashion sale,5732,58,-0.012027894883713,-0.0136120276597744,0.0136120276597744,-0.1340033683385861,-0.0721203491566746,-12.541288130716625,-6.958108605876788,False
eagles,Sports win campaign,594,6,0.0085927319055871,0.0068197327383832,0.0085927319055871,0.2860572412882405,0.1079687183158966,33.11686508799447,11.401289664188688,False
ichiba-day,18th Ichiba Day,2252,23,-0.0062686086834017,-0.0068605195815584,0.0068605195815584,-0.1084930891342992,-0.0564672750001826,-10.281490487875269,-5.490258769826728,False
mothers-day,Mother's Day seasonal event,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
barcelona,Sports event,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
user-ranking,User ranking event,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
singles-day,Singles Day sale,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
newyear-sale,New Year sale,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
point-back,Point-back campaign,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
fathers-day,Father's Day seasonal event,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
event,Event,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
point-up,Point-up campaign,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
39shop,39 Shop campaign,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
thanks-giving,Thanksgiving sale,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
