feature,display_name,importance_mean,importance_std
sales_roll_mean_7d,Average sales over previous 7 days,0.5770832655835603,0.0050113768432161
sales_lag_1d,Sales from 1 day earlier,0.3204022486722581,0.0077212335543425
active_items,Active items that day,0.1137811643106196,0.0061363799326116
event_max_point_multiplier,Largest active event point multiplier,0.105742613597223,0.0030487432083288
sales_roll_mean_28d,Average sales over previous 28 days,0.0936393321007608,0.0020203272337037
items_roll_mean_28d,Average quantity over previous 28 days,0.0822782078007517,0.0043045193723421
items_roll_mean_7d,Average quantity over previous 7 days,0.0677712201879562,0.0039964909326578
event_zero-five,5 and 0 day active today,0.0204905109357587,0.0010703699450263
sales_lag_14d,Sales from 14 days earlier,0.0120607942417202,0.0011837782654711
event_strength_score_in_1d,Active event strength score in 1 day,0.0092689415146279,0.0007493174891675
items_lag_1d,Quantity from 1 day earlier,0.0076568528230441,0.0011424642506656
event_count_prev_7d,Number of Rakuten events in previous 7 days,0.0072184209943362,0.0010526171766187
sales_promo_lift_today,Expected sales lift from today's promotion,0.0063121125025011,0.0013728028985123
items_promo_lift_today,Expected quantity lift from today's promotion,0.0056741674884583,0.000942363258393
days_to_promo_or_holiday,Days until next promotion or holiday,0.0053748853653313,0.0005945196726823
day_of_week,Day of week,0.0052719061312875,0.0004707587268501
event_count_after_1d,Number of Rakuten events in previous 1 day,0.004074932094704,0.0002200688437299
genre_id,Genre,0.0032453113635123,0.0003161553381163
ranking_group,Ranking group,0.002945851980252,0.0006048153613391
event_count,Number of active Rakuten events,0.0026876047052863,0.0006670937881993
min_price,Lowest ranked item price,0.0025891494769487,0.0003064879908109
event_count_prev_3d,Number of Rakuten events in previous 3 days,0.002457190693896,0.0003714089879388
items_promo_lift_next_3d,Expected quantity lift from promotions in next 3 days,0.0023983041831207,0.000352892488516
ranked_shops,Ranked shops that day,0.0022345561250201,0.0002573428178353
sales_lag_28d,Sales from 28 days earlier,0.0021160613441045,0.0006847493365453
items_lag_14d,Quantity from 14 days earlier,0.0020007701243706,0.0003334424081947
active_shops,Active shops that day,0.0017795379039797,0.0005493097956234
day_of_month,Day of month,0.0016621675436849,0.0005205327230616
cos_dow,Weekly seasonality pattern,0.00156088874677,0.0004236674293612
mean_rank,Average ranking position,0.0013979772976089,0.0001975539895324
max_price,Highest ranked item price,0.0012504909540635,0.0004717674580125
items_lag_7d,Quantity from 7 days earlier,0.0011258980913521,0.0004212166611915
event_strength_score_in_2d,Active event strength score in 2 days,0.0009894437571572,0.0001193256958238
sales_promo_lift_next_3d,Expected sales lift from promotions in next 3 days,0.0009339435768607,0.0002862232966843
event_strength_score_next_3d,Active event strength score over next 3 days,0.0009308977908283,0.0002060048198843
event_count_in_1d,Count in 1 day,0.0008980605998832,0.0001123215330603
is_holiday,Japan holiday that day,0.0007157601303261,0.0001838452725845
median_price,Median ranked item price,0.0005866104369857,0.0001916303417662
event_marathon_in_7d,Shopping Marathon in 7 days,0.00056933361242,0.0001991240845468
days_since_event,Days since previous Rakuten event,0.0005161722785333,0.0001451180832554
is_month_start,Start of month,0.0004260778251731,5.2487168946637415e-05
holiday_in_1d,Japan holiday in 1 day,0.0004183076272176,8.721164608497011e-05
event_supersale,Rakuten Super Sale active today,0.0004140513701391,0.0001973489907607
sales_lag_7d,Sales from 7 days earlier,0.0004079473983775,0.0003661134108435
event_strength_score_next_7d,Active event strength score over next 7 days,0.000402026155833,6.486046556262926e-05
event_supersale_after_3d,Rakuten Super Sale 3 days ago,0.0003829451724891,0.0001475907417076
event_zero-five_after_1d,5 and 0 day 1 day ago,0.0003655928171034,0.0002931875321747
event_marathon_in_1d,Shopping Marathon in 1 day,0.0003546786887157,6.372255186929071e-05
event_count_next_3d,Number of Rakuten events in next 3 days,0.0003518500797226,5.8601679252626154e-05
items_lag_28d,Quantity from 28 days earlier,0.0003364444772867,0.0001799487463303
holiday_count_next_3d,Number of Japan holidays in next 3 days,0.0002909825434383,8.510293361161753e-05
event_zero-five_after_2d,5 and 0 day 2 days ago,0.0002833625800991,0.0001268183991207
event_bonus_point_multiplier_next_7d,Active event bonus point multiplier over next 7 days,0.0002671334627263,0.0002406294913588
sales_promo_lift_next_7d,Expected sales lift from promotions in next 7 days,0.0002478180997634,0.0003766222245333
cos_month,Yearly seasonality pattern,0.0002453742402559,5.6638270356501355e-05
items_promo_lift_next_7d,Expected quantity lift from promotions in next 7 days,0.0002257201105519,0.0001281311502682
event_count_after_2d,Number of Rakuten events in previous 2 days,0.000220690170002,7.187999207378343e-05
promo_or_holiday_count_next_7d,Promotions or holidays in next 7 days,0.0002006405740726,6.676070263835206e-05
event_count_in_7d,Count in 7 days,0.0001975623825116,6.811487258846954e-05
holiday_count_prev_14d,Number of Japan holidays in previous 14 days,0.0001943799856679,0.0001265005788395
promo_or_holiday_count_next_14d,Promotions or holidays in next 14 days,0.0001848893584104,0.0001373295652415
promo_or_holiday_count_next_3d,Promotions or holidays in next 3 days,0.0001679452840928,6.421146584816015e-05
days_since_holiday,Days since previous Japan holiday,0.0001660336223151,0.0002274321103172
event_zero-five_in_2d,5 and 0 day in 2 days,0.0001512803194768,0.000234214209429
event_zero-five_in_1d,5 and 0 day in 1 day,0.0001304612206648,4.1482890027132784e-05
event_point_cap_next_7d,Active event point cap over next 7 days,0.000130292962688,0.0001323021680291
